Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,7,141.45,,11,63.5,,8,79.2,,9,25.11
QF_BV/RWS/Example_11.txt,,9,3429.7,,--,--,,13,239.65,,--,--
QF_BV/RWS/Example_12.txt,,4,431.73,,6,55.01,,6,78.91,,6,863.58
QF_BV/RWS/Example_13.txt,,5,63.66,,11,49.97,,9,63.19,,7,9.08
QF_BV/RWS/Example_16.txt,,8,128.42,,10,59.63,,11,107.33,,10,10.01
QF_BV/RWS/Example_17.txt,,4,75.36,,5,40.56,,6,59.87,,5,15.88
QF_BV/RWS/Example_3.txt,,6,53.84,,10,41.29,,8,62.12,,7,3.58
QF_BV/RWS/Example_8.txt,,5,28.77,,7,31.8,,16,82.84,,6,0.86
QF_BV/RWS/Example_9.txt,,5,193.38,,--,--,,8,268.46,,6,719.26
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,3,305.33,,--,--,,--,--,,4,102.82
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,3,507.07,,--,--,,--,--,,4,132.19
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,3,229.97,,--,--,,--,--,,4,5.91
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,4,509.54,,--,--,,--,--,,4,9.91
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,3,239.86,,--,--,,--,--,,4,5.56
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,3,418.93,,--,--,,--,--,,4,9.11
QF_BV/sage/app1/bench_1126,,2,84.51,,30,170.73,,28,138.01,,--,--
QF_BV/sage/app1/bench_134,,2,39.51,,20,119.4,,107,683.13,,--,--
QF_BV/sage/app1/bench_1448,,2,95.66,,--,--,,26,148.45,,--,--
QF_BV/sage/app1/bench_1459,,2,82.74,,--,--,,20,118.69,,--,--
QF_BV/sage/app1/bench_1470,,2,88.25,,15,106.5,,27,137.54,,--,--
QF_BV/sage/app1/bench_1481,,2,88.98,,5,35.48,,27,155.62,,--,--
QF_BV/sage/app1/bench_1492,,2,83.79,,--,--,,21,137.69,,--,--
QF_BV/sage/app1/bench_1525,,2,86.35,,25,183.33,,28,144.23,,--,--
QF_BV/sage/app1/bench_1559,,2,101.23,,--,--,,22,137.3,,--,--
QF_BV/sage/app1/bench_169,,2,35.42,,61,371.79,,19,66.03,,2,1912.65
QF_BV/sage/app1/bench_174,,2,35.83,,71,530.13,,109,618.46,,2,793.5
QF_BV/sage/app1/bench_175,,2,37.09,,37,268.77,,108,595.77,,3,2624.3
QF_BV/sage/app1/bench_176,,2,36.52,,99,784.22,,107,635.59,,2,2977.01
QF_BV/sage/app1/bench_177,,2,38.14,,47,319.9,,129,670.96,,--,--
QF_BV/sage/app1/bench_181,,2,112.6,,5,68.75,,26,159.41,,--,--
QF_BV/sage/app1/bench_182,,2,37.76,,78,633.02,,121,944.12,,3,3068.95
QF_BV/sage/app1/bench_183,,2,34.88,,84,599.9,,107,639.94,,--,--
QF_BV/sage/app1/bench_184,,2,32.34,,105,687.86,,114,616.62,,2,2993.71
QF_BV/sage/app1/bench_185,,2,35.09,,53,342.29,,307,1655.39,,3,1965.73
QF_BV/sage/app1/bench_1873,,2,93.49,,--,--,,29,167.81,,--,--
QF_BV/sage/app1/bench_1877,,2,84.93,,--,--,,27,151.51,,--,--
QF_BV/sage/app1/bench_188,,2,39.04,,31,161.52,,102,684.62,,3,3112.03
QF_BV/sage/app1/bench_191,,2,31.72,,19,117.71,,104,641.07,,3,2917.56
QF_BV/sage/app1/bench_1913,,2,102.58,,--,--,,26,137.4,,--,--
QF_BV/sage/app1/bench_1914,,2,81.02,,5,33.9,,22,117.66,,--,--
QF_BV/sage/app1/bench_1915,,2,92.33,,27,169.36,,22,137.57,,--,--
QF_BV/sage/app1/bench_1916,,2,76.0,,--,--,,30,173.03,,--,--
QF_BV/sage/app1/bench_1917,,2,80.61,,--,--,,18,111.28,,--,--
QF_BV/sage/app1/bench_1920,,2,72.22,,22,147.55,,24,154.92,,--,--
QF_BV/sage/app1/bench_1924,,2,82.37,,--,--,,20,90.53,,--,--
QF_BV/sage/app1/bench_1950,,2,87.87,,--,--,,29,161.32,,--,--
QF_BV/sage/app1/bench_2004,,2,76.25,,--,--,,29,148.68,,--,--
QF_BV/sage/app1/bench_2005,,2,68.3,,--,--,,39,371.66,,--,--
QF_BV/sage/app1/bench_201,,2,35.01,,33,282.66,,108,732.83,,--,--
QF_BV/sage/app1/bench_2020,,2,79.21,,--,--,,27,148.77,,--,--
QF_BV/sage/app1/bench_2021,,2,73.04,,--,--,,27,126.29,,--,--
QF_BV/sage/app1/bench_2022,,2,65.31,,--,--,,29,157.32,,--,--
QF_BV/sage/app1/bench_2024,,2,63.4,,--,--,,25,152.47,,--,--
QF_BV/sage/app1/bench_2025,,2,67.73,,3,36.88,,32,144.23,,--,--
QF_BV/sage/app1/bench_2028,,2,76.27,,--,--,,32,149.81,,--,--
QF_BV/sage/app1/bench_2031,,2,84.7,,--,--,,33,172.19,,--,--
QF_BV/sage/app1/bench_2088,,2,79.68,,15,123.86,,36,221.42,,--,--
QF_BV/sage/app1/bench_2089,,2,115.71,,--,--,,13,74.61,,--,--
QF_BV/sage/app1/bench_2124,,2,64.12,,--,--,,28,139.43,,--,--
QF_BV/sage/app1/bench_2128,,2,68.75,,--,--,,37,307.72,,--,--
QF_BV/sage/app1/bench_2129,,2,99.53,,--,--,,28,167.47,,--,--
QF_BV/sage/app1/bench_2133,,2,63.84,,27,147.51,,41,350.04,,--,--
