Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,113,2143.76,,--,--,,--,--,,260,631.62
QF_BV/RWS/Example_11.txt,,--,--,,--,--,,--,--,,--,--
QF_BV/RWS/Example_12.txt,,--,--,,--,--,,--,--,,--,--
QF_BV/RWS/Example_13.txt,,82,910.01,,330,2389.59,,--,--,,184,285.44
QF_BV/RWS/Example_16.txt,,83,1052.4,,213,1790.92,,266,3180.72,,167,156.07
QF_BV/RWS/Example_17.txt,,72,1037.22,,194,1861.02,,--,--,,150,431.4
QF_BV/RWS/Example_3.txt,,96,572.06,,382,2340.09,,--,--,,251,111.15
QF_BV/RWS/Example_8.txt,,28,115.82,,91,389.3,,133,948.41,,63,7.79
QF_BV/RWS/Example_9.txt,,51,1412.83,,--,--,,--,--,,--,--
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,41,2685.8,,--,--,,--,--,,--,--
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,--,--,,--,--,,--,--,,--,--
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,36,1759.75,,--,--,,--,--,,--,--
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,31,2480.51,,--,--,,--,--,,--,--
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,44,1977.3,,--,--,,--,--,,--,--
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,40,2933.67,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_1126,,15,500.13,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_134,,18,213.07,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_1448,,16,576.07,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_1459,,16,522.43,,--,--,,237,2318.4,,--,--
QF_BV/sage/app1/bench_1470,,16,532.87,,307,2776.37,,383,3281.77,,--,--
QF_BV/sage/app1/bench_1481,,18,617.03,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_1492,,16,541.94,,--,--,,378,3545.77,,--,--
QF_BV/sage/app1/bench_1525,,16,488.8,,289,3258.41,,--,--,,--,--
QF_BV/sage/app1/bench_1559,,16,580.92,,--,--,,402,3458.55,,--,--
QF_BV/sage/app1/bench_169,,17,178.38,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_174,,17,180.36,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_175,,18,188.77,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_176,,20,211.17,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_177,,16,179.48,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_181,,15,597.28,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_182,,16,170.17,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_183,,17,174.17,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_184,,16,168.32,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_185,,17,178.96,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_1873,,16,559.63,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_1877,,16,541.73,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_188,,16,194.08,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_191,,16,153.6,,457,3347.69,,--,--,,--,--
QF_BV/sage/app1/bench_1913,,17,754.32,,--,--,,410,3302.96,,--,--
QF_BV/sage/app1/bench_1914,,15,488.0,,253,2737.02,,354,3009.16,,--,--
QF_BV/sage/app1/bench_1915,,16,560.56,,--,--,,377,3213.34,,--,--
QF_BV/sage/app1/bench_1916,,17,530.97,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_1917,,16,481.24,,--,--,,343,3003.4,,--,--
QF_BV/sage/app1/bench_1920,,15,479.7,,293,2863.96,,337,2859.8,,--,--
QF_BV/sage/app1/bench_1924,,16,508.6,,--,--,,398,3163.62,,--,--
QF_BV/sage/app1/bench_1950,,17,578.21,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2004,,16,452.03,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2005,,16,427.26,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_201,,19,196.17,,421,3243.88,,--,--,,--,--
QF_BV/sage/app1/bench_2020,,17,454.84,,--,--,,368,3023.15,,--,--
QF_BV/sage/app1/bench_2021,,17,449.43,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2022,,16,404.01,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2024,,16,354.57,,--,--,,236,2140.13,,--,--
QF_BV/sage/app1/bench_2025,,18,435.5,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2028,,18,455.35,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2031,,17,548.17,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2088,,18,490.46,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2089,,14,560.53,,--,--,,295,2497.17,,--,--
QF_BV/sage/app1/bench_2124,,18,436.58,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2128,,17,423.95,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2129,,16,578.04,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2133,,17,439.43,,--,--,,406,3499.65,,--,--
QF_BV/sage/app1/bench_2135,,18,475.65,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2138,,17,466.74,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2141,,16,371.15,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2173,,17,558.46,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2219,,17,486.53,,--,--,,--,--,,--,--
