ALL,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
coverage,#suc,#sol,#time,#suc,#sol,#time,#suc,#sol,#time,#suc,#sol,#time
80%,550,1.7,121.6,299,12.2,67.2,357,26.1,141.5,262,1.3,602.2
90%,544,2.7,188.8,292,35.4,206.2,324,52.3,316.6,217,2.0,599.5
95%,531,4.4,206.8,290,46.3,304.3,321,79.0,524.6,186,3.2,445.2
98%,518,7.8,329.1,288,75.7,504.0,317,103.9,706.7,156,7.6,177.9
99%,488,11.3,426.8,278,140.3,961.5,298,179.5,1206.3,147,16.2,187.3
99.5%,445,17.7,421.4,160,138.2,751.6,164,157.8,870.9,138,21.4,146.4
,,,,,,,,,,,,
,,,,,,,,,,,,
QF_BV,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
coverage,#suc,#sol,#time,#suc,#sol,#time,#suc,#sol,#time,#suc,#sol,#time
80%,328,1.2,37.5,294,7.6,45.1,325,7.4,53.2,262,1.3,602.2
90%,328,1.9,63.0,289,29.5,190.0,320,50.8,312.2,217,2.0,599.5
95%,327,2.9,73.9,289,45.1,304.6,320,78.0,525.6,186,3.2,445.2
98%,326,5.0,105.2,288,75.7,504.0,317,103.9,706.7,156,7.6,177.9
99%,324,8.1,143.6,278,140.3,961.5,298,179.5,1206.3,147,16.2,187.3
99.5%,323,15.6,244.6,160,138.2,751.6,164,157.8,870.9,138,21.4,146.4
,,,,,,,,,,,,
,,,,,,,,,,,,
QF_ABV,,PanSampler,,,SMTSampler,,,GuidedSampler,,,,
coverage,#suc,#sol,#time,#suc,#sol,#time,#suc,#sol,#time,,,
80%,216,2.3,252.0,2,227.0,1366.8,29,223.6,1026.2,,,
90%,210,3.8,389.6,1,363.0,186.9,2,182.0,97.8,,,
95%,198,6.7,431.2,1,401.0,201.6,1,401.0,192.3,,,
98%,186,12.4,729.7,0,--,--,0,--,--,,,
99%,161,17.5,1001.6,0,--,--,0,--,--,,,
99.5%,119,23.5,905.4,0,--,--,0,--,--,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
QF_AUFBV,,PanSampler,,,SMTSampler,,,GuidedSampler,,,,
coverage,#suc,#sol,#time,#suc,#sol,#time,#suc,#sol,#time,,,
80%,6,4.7,21.8,3,315.7,1364.9,3,146.7,1163.0,,,
90%,6,7.2,36.2,2,723.0,2566.9,2,166.5,1236.0,,,
95%,6,8.8,44.4,0,--,--,0,--,--,,,
98%,6,13.2,73.9,0,--,--,0,--,--,,,
99%,3,13.0,157.5,0,--,--,0,--,--,,,
99.5%,3,15.3,263.4,0,--,--,0,--,--,,,
