Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,38,101.92,,134,690.65,,104,842.1,,106,20.05
QF_BV/RWS/Example_14.txt,,45,175.95,,107,581.42,,104,1104.24,,96,95.28
QF_BV/RWS/Example_2.txt,,18,47.77,,59,290.86,,46,420.33,,40,5.61
QF_BV/RWS/Example_4.txt,,12,44.02,,64,332.09,,50,309.75,,25,3.62
QF_BV/RWS/Example_5.txt,,9,31.83,,21,80.91,,30,226.18,,15,2.32
QF_BV/RWS/Example_6.txt,,7,10.6,,28,167.61,,19,164.66,,19,1.42
QF_BV/bench_ab/a168test0018,,2,0.05,,7,0.1,,7,0.34,,4,0.05
QF_BV/bench_ab/a403test0043,,3,0.06,,13,0.09,,13,0.1,,6,0.1
QF_BV/bench_ab/a423test0008,,46,0.31,,6,0.07,,6,0.08,,8,0.08
QF_BV/bench_ab/a481test0001,,5,0.32,,92,1.46,,90,1.53,,8,0.07
QF_BV/bench_ab/a493test0006,,5,0.35,,89,1.25,,86,1.22,,6,0.09
QF_BV/bench_ab/a503test0089,,2,0.08,,5,0.08,,5,0.07,,4,0.46
QF_BV/bench_ab/a628test0066,,1,0.07,,1,0.04,,1,0.05,,1,0.05
QF_BV/bench_ab/a639test0017,,21,0.33,,17,0.31,,17,0.12,,5,0.14
QF_BV/bench_ab/a651test0090,,41,0.52,,9,0.11,,9,0.12,,4,0.05
QF_BV/bench_ab/a655test0003,,16,0.19,,9,0.06,,9,0.28,,3,0.04
QF_BV/bench_ab/a656test0092,,1,0.05,,1,0.03,,1,0.05,,1,0.06
QF_BV/bench_ab/a659test0071,,40,0.43,,9,0.4,,9,0.1,,3,0.08
QF_BV/bench_ab/a688test0103,,1,0.03,,1,0.03,,1,0.06,,1,0.45
QF_BV/bmc-bv/adpcm,,1,0.02,,1,0.04,,1,0.52,,1,0.35
QF_BV/bmc-bv/ex19,,--,--,,--,--,,--,--,,--,--
QF_BV/bmc-bv/fermat,,5,10.27,,33,127.92,,7,53.09,,--,--
QF_BV/bmc-bv/graycode,,3,4.74,,7,3.08,,7,2.76,,4,0.38
QF_BV/bmc-bv/inf1,,4,0.32,,32,1.02,,32,0.54,,5,0.09
QF_BV/bmc-bv/magic,,3,12.08,,3,7.34,,3,11.91,,3,4.6
QF_BV/bmc-bv/matrixsqrt,,3,6.2,,4,13.03,,4,13.13,,3,3.41
QF_BV/bmc-bv/queens,,3,7.21,,7,7.69,,7,5.12,,5,0.88
QF_BV/bmc-bv/send-more-money,,1,2.04,,1,0.64,,1,0.66,,1,0.17
QF_BV/bmc-bv/sort,,1,0.42,,1,0.14,,1,0.15,,1,0.3
QF_BV/bmc-bv/sudoku,,1,38.66,,1,1.4,,1,1.61,,1,544.32
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,3.98,,77,149.21,,68,73.7,,21,1.86
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,4,7.71,,--,--,,64,66.68,,39,3.67
QF_BV/brummayerbiere2/smulov4bw0032,,4,3.01,,29,1.58,,29,1.38,,7,0.98
QF_BV/brummayerbiere2/smulov4bw0064,,4,14.83,,60,13.97,,60,19.92,,--,--
QF_BV/brummayerbiere2/smulov4bw0128,,5,103.29,,120,221.42,,120,336.53,,--,--
QF_BV/brummayerbiere2/smulov4bw0256,,4,1033.46,,--,--,,--,--,,--,--
QF_BV/gulwani-pldi08/fig1d.phx,,11,186.78,,213,2315.24,,182,1798.75,,49,1324.16
QF_BV/gulwani-pldi08/fig5.phx,,8,78.32,,347,844.62,,355,903.57,,18,394.16
QF_BV/gulwani-pldi08/fig6.phx,,13,34.44,,--,--,,--,--,,208,77.48
QF_BV/gulwani-pldi08/merge.phx,,2,20.54,,2,4.64,,2,6.63,,2,1.55
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,7,54.44,,174,541.58,,184,457.98,,18,107.45
QF_BV/sage/app1/bench_1141,,5,7.98,,94,210.67,,94,224.98,,11,2.03
QF_BV/sage/app1/bench_1288,,4,7.08,,104,133.89,,91,196.69,,5,1.82
QF_BV/sage/app1/bench_1339,,4,3.6,,86,121.4,,79,131.97,,7,1.75
QF_BV/sage/app1/bench_1346,,5,5.01,,81,68.14,,81,53.6,,8,1.52
QF_BV/sage/app1/bench_1710,,5,0.17,,26,0.5,,26,0.26,,9,0.46
QF_BV/sage/app1/bench_1742,,3,0.15,,21,0.41,,21,0.38,,9,0.09
QF_BV/sage/app1/bench_1768,,4,0.16,,20,0.33,,20,0.54,,7,0.05
QF_BV/sage/app12/bench_1183,,8,37.6,,101,389.43,,122,425.65,,16,9.03
QF_BV/sage/app12/bench_1353,,34,17.13,,326,11.11,,326,16.05,,6,0.03
QF_BV/sage/app12/bench_2211,,3,1.03,,6,0.2,,6,0.21,,4,0.13
QF_BV/sage/app12/bench_2353,,71,264.79,,--,--,,--,--,,7,0.07
QF_BV/sage/app12/bench_363,,2,0.2,,9,0.25,,9,0.18,,4,0.06
QF_BV/sage/app12/bench_3921,,--,--,,15,0.21,,15,0.22,,6,0.44
QF_BV/sage/app12/bench_4066,,1,0.03,,1,0.03,,1,0.26,,1,0.08
QF_BV/sage/app12/bench_4177,,2,0.05,,17,0.15,,17,0.57,,8,0.48
QF_BV/sage/app12/bench_446,,4,0.18,,64,2.25,,64,3.27,,7,0.08
QF_BV/sage/app12/bench_5599,,3,0.19,,32,1.68,,32,1.14,,7,0.08
QF_BV/sage/app12/bench_797,,1,0.07,,1,0.02,,1,0.06,,1,0.06
QF_BV/sage/app12/bench_953,,3,0.12,,10,0.14,,9,0.12,,13,0.12
QF_BV/sage/app12/bench_971,,1,0.02,,1,0.04,,1,0.04,,1,0.04
QF_BV/sage/app2/bench_1196,,7,12.21,,411,40.35,,409,36.87,,7,3.1
QF_BV/sage/app2/bench_1387,,30,357.88,,670,265.53,,671,308.61,,5,1.76
