Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,57,159.46,,243,1412.17,,198,1922.49,,185,34.2
QF_BV/RWS/Example_14.txt,,71,284.71,,245,1389.13,,230,2743.19,,249,270.77
QF_BV/RWS/Example_2.txt,,26,68.07,,84,433.0,,84,831.42,,59,7.95
QF_BV/RWS/Example_4.txt,,13,46.81,,69,350.85,,73,499.2,,27,3.87
QF_BV/RWS/Example_5.txt,,13,43.38,,28,114.59,,40,323.88,,26,4.11
QF_BV/RWS/Example_6.txt,,9,13.22,,32,207.19,,26,257.25,,19,1.42
QF_BV/bench_ab/a168test0018,,2,0.05,,8,0.1,,8,0.35,,4,0.05
QF_BV/bench_ab/a403test0043,,3,0.06,,13,0.09,,13,0.1,,6,0.1
QF_BV/bench_ab/a423test0008,,46,0.31,,6,0.07,,6,0.08,,8,0.08
QF_BV/bench_ab/a481test0001,,6,0.38,,93,1.46,,92,1.58,,9,0.07
QF_BV/bench_ab/a493test0006,,6,0.43,,91,1.28,,90,1.27,,7,0.1
QF_BV/bench_ab/a503test0089,,3,0.11,,6,0.09,,6,0.07,,4,0.46
QF_BV/bench_ab/a628test0066,,1,0.07,,1,0.04,,1,0.05,,1,0.05
QF_BV/bench_ab/a639test0017,,26,0.39,,17,0.31,,17,0.12,,6,0.14
QF_BV/bench_ab/a651test0090,,41,0.52,,9,0.11,,9,0.12,,7,0.05
QF_BV/bench_ab/a655test0003,,22,0.25,,9,0.06,,9,0.28,,3,0.04
QF_BV/bench_ab/a656test0092,,1,0.05,,1,0.03,,1,0.05,,1,0.06
QF_BV/bench_ab/a659test0071,,40,0.43,,9,0.4,,9,0.1,,3,0.08
QF_BV/bench_ab/a688test0103,,1,0.03,,1,0.03,,1,0.06,,1,0.45
QF_BV/bmc-bv/adpcm,,1,0.02,,1,0.04,,1,0.52,,1,0.35
QF_BV/bmc-bv/ex19,,--,--,,--,--,,--,--,,--,--
QF_BV/bmc-bv/fermat,,6,12.49,,34,133.17,,8,74.1,,--,--
QF_BV/bmc-bv/graycode,,4,5.98,,13,8.86,,13,7.95,,5,0.47
QF_BV/bmc-bv/inf1,,4,0.32,,33,1.02,,33,0.54,,7,0.1
QF_BV/bmc-bv/magic,,3,12.08,,7,35.88,,5,36.33,,4,6.64
QF_BV/bmc-bv/matrixsqrt,,3,6.2,,4,13.03,,4,13.13,,3,3.41
QF_BV/bmc-bv/queens,,4,8.9,,9,12.55,,9,8.23,,6,0.98
QF_BV/bmc-bv/send-more-money,,1,2.04,,1,0.64,,1,0.66,,1,0.17
QF_BV/bmc-bv/sort,,1,0.42,,1,0.14,,1,0.15,,1,0.3
QF_BV/bmc-bv/sudoku,,2,66.3,,4,8.23,,13,102.09,,2,1100.08
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,6,5.14,,--,--,,69,74.17,,21,1.86
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,6,10.32,,--,--,,68,74.8,,39,3.67
QF_BV/brummayerbiere2/smulov4bw0032,,4,3.01,,30,1.65,,30,1.42,,10,1.3
QF_BV/brummayerbiere2/smulov4bw0064,,5,19.29,,62,14.15,,62,20.22,,--,--
QF_BV/brummayerbiere2/smulov4bw0128,,5,103.29,,123,228.11,,123,343.98,,--,--
QF_BV/brummayerbiere2/smulov4bw0256,,5,1160.72,,--,--,,--,--,,--,--
QF_BV/gulwani-pldi08/fig1d.phx,,14,228.41,,218,2364.36,,--,--,,88,2287.48
QF_BV/gulwani-pldi08/fig5.phx,,10,92.01,,354,880.81,,371,1050.12,,23,506.79
QF_BV/gulwani-pldi08/fig6.phx,,13,34.44,,--,--,,--,--,,208,77.48
QF_BV/gulwani-pldi08/merge.phx,,2,20.54,,2,4.64,,2,6.63,,2,1.55
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,8,59.73,,187,591.71,,201,637.95,,19,113.6
QF_BV/sage/app1/bench_1141,,5,7.98,,--,--,,--,--,,11,2.03
QF_BV/sage/app1/bench_1288,,5,8.62,,107,135.05,,91,196.69,,7,2.38
QF_BV/sage/app1/bench_1339,,5,4.31,,89,121.41,,82,131.99,,8,1.98
QF_BV/sage/app1/bench_1346,,6,6.06,,81,68.14,,81,53.6,,10,1.9
QF_BV/sage/app1/bench_1710,,5,0.17,,26,0.5,,26,0.26,,9,0.46
QF_BV/sage/app1/bench_1742,,3,0.15,,21,0.41,,21,0.38,,9,0.09
QF_BV/sage/app1/bench_1768,,4,0.16,,20,0.33,,20,0.54,,8,0.05
QF_BV/sage/app12/bench_1183,,22,96.84,,163,631.25,,204,732.31,,103,55.58
QF_BV/sage/app12/bench_1353,,49,24.61,,335,11.39,,335,16.43,,7,0.03
QF_BV/sage/app12/bench_2211,,4,1.32,,7,1.65,,6,0.21,,4,0.13
QF_BV/sage/app12/bench_2353,,91,331.65,,--,--,,--,--,,7,0.07
QF_BV/sage/app12/bench_363,,3,0.26,,10,0.3,,10,0.22,,9,0.08
QF_BV/sage/app12/bench_3921,,--,--,,15,0.21,,15,0.22,,8,0.45
QF_BV/sage/app12/bench_4066,,1,0.03,,1,0.03,,1,0.26,,1,0.08
QF_BV/sage/app12/bench_4177,,2,0.05,,17,0.15,,17,0.57,,8,0.48
QF_BV/sage/app12/bench_446,,4,0.18,,65,2.25,,65,3.27,,7,0.08
QF_BV/sage/app12/bench_5599,,3,0.19,,32,1.68,,32,1.14,,7,0.08
QF_BV/sage/app12/bench_797,,1,0.07,,1,0.02,,1,0.06,,1,0.06
QF_BV/sage/app12/bench_953,,4,0.14,,10,0.14,,9,0.12,,13,0.12
QF_BV/sage/app12/bench_971,,1,0.02,,1,0.04,,1,0.04,,1,0.04
QF_BV/sage/app2/bench_1196,,8,13.93,,420,40.99,,418,37.48,,10,4.6
QF_BV/sage/app2/bench_1387,,43,506.25,,709,277.47,,710,324.01,,6,2.07
QF_BV/sage/app2/bench_225,,9,14.78,,423,39.79,,423,46.73,,9,3.7
QF_BV/sage/app2/bench_278,,5,9.83,,172,20.66,,--,--,,11,2.4
QF_BV/sage/app2/bench_282,,5,10.68,,49,18.97,,49,13.65,,7,1.0
QF_BV/sage/app2/bench_458,,185,6.91,,33,0.92,,33,0.76,,5,0.06
QF_BV/sage/app2/bench_48,,42,14.99,,491,41.5,,491,45.84,,7,0.1
QF_BV/sage/app2/bench_642,,23,31.32,,445,56.78,,446,42.95,,8,1.69
QF_BV/sage/app2/bench_645,,9,4.48,,270,11.61,,--,--,,53,2.06
QF_BV/sage/app2/bench_664,,23,25.98,,448,40.65,,443,35.32,,8,1.33
QF_BV/sage/app2/bench_719,,24,33.99,,445,43.63,,443,56.43,,7,0.93
QF_BV/sage/app2/bench_830,,23,26.62,,471,43.17,,473,48.73,,6,0.55
QF_BV/sage/app2/bench_863,,6,9.12,,441,43.64,,441,65.4,,9,4.85
QF_BV/sage/app5/bench_1163,,26,5.85,,164,14.31,,171,11.41,,14,0.2
QF_BV/sage/app5/bench_1169,,1,0.04,,1,0.03,,1,0.07,,1,0.04
QF_BV/sage/app5/bench_1170,,10,2.0,,178,14.52,,185,20.54,,29,0.36
QF_BV/sage/app5/bench_1182,,6,13.49,,172,30.99,,160,31.26,,15,1.53
QF_BV/sage/app5/bench_1262,,4,0.25,,48,1.63,,50,0.91,,22,0.14
QF_BV/sage/app5/bench_1298,,1,0.08,,1,0.03,,1,0.1,,1,0.07
QF_BV/sage/app5/bench_349,,5,14.52,,201,42.5,,203,61.12,,20,3.24
QF_BV/sage/app5/bench_357,,6,18.0,,197,60.82,,195,53.39,,35,5.18
QF_BV/sage/app5/bench_42,,7,10.13,,35,5.76,,35,6.09,,8,0.36
QF_BV/sage/app5/bench_555,,1,0.03,,1,0.04,,1,0.04,,1,0.08
QF_BV/sage/app5/bench_565,,1,0.03,,1,0.02,,1,0.05,,1,0.06
QF_BV/sage/app5/bench_575,,5,0.19,,65,1.7,,65,1.5,,8,0.53
QF_BV/sage/app5/bench_597,,1,0.05,,1,0.18,,1,0.05,,1,0.04
QF_BV/sage/app5/bench_742,,4,0.48,,17,2.87,,17,2.91,,4,0.22
QF_BV/sage/app5/bench_794,,3,0.06,,33,0.42,,33,0.43,,11,0.06
QF_BV/sage/app5/bench_959,,6,1.0,,106,12.99,,105,9.51,,7,0.16
QF_BV/sage/app5/bench_960,,7,0.16,,33,0.41,,33,0.4,,7,0.06
QF_BV/sage/app8/bench_1892,,8,2.09,,41,12.14,,39,13.32,,9,0.7
QF_BV/sage/app8/bench_2006,,7,1.72,,--,--,,496,5.06,,27,0.37
QF_BV/sage/app8/bench_23,,5,3.91,,16,8.24,,16,5.0,,17,2.62
QF_BV/sage/app8/bench_2310,,5,0.64,,268,1.63,,42,1.34,,9,0.13
QF_BV/sage/app8/bench_2880,,16,5.6,,63,6.97,,--,--,,17,1.16
QF_BV/sage/app8/bench_3177,,7,3.62,,--,--,,--,--,,26,1.42
QF_BV/sage/app8/bench_3314,,7,3.0,,52,4.69,,460,6.06,,10,0.68
QF_BV/sage/app8/bench_3368,,5,2.28,,18,1.93,,18,2.34,,20,1.12
QF_BV/sage/app8/bench_3424,,5,1.38,,55,4.13,,47,3.59,,16,1.1
QF_BV/sage/app8/bench_3448,,4,0.43,,39,1.28,,47,1.33,,7,0.3
QF_BV/sage/app8/bench_3677,,5,0.32,,--,--,,--,--,,8,0.11
QF_BV/sage/app8/bench_3814,,6,1.74,,36,7.77,,33,4.32,,11,0.58
QF_BV/sage/app8/bench_3836,,3,0.08,,17,0.23,,17,0.76,,5,0.05
QF_BV/sage/app8/bench_400,,7,42.02,,--,--,,--,--,,9,126.23
QF_BV/sage/app8/bench_443,,8,39.45,,166,597.12,,157,726.57,,15,236.19
QF_BV/sage/app8/bench_498,,7,37.7,,130,659.83,,152,681.61,,--,--
QF_BV/sage/app8/bench_525,,108,8.27,,--,--,,465,1.14,,14,0.57
QF_BV/sage/app8/bench_828,,9,32.79,,--,--,,256,817.47,,15,250.86
QF_BV/sage/app9/bench_1203,,5,1.63,,33,2.97,,38,3.36,,8,0.38
QF_BV/sage/app9/bench_1269,,5,1.05,,626,4.73,,--,--,,11,0.77
QF_BV/sage/app9/bench_1323,,5,0.79,,--,--,,--,--,,6,0.14
QF_BV/sage/app9/bench_1384,,9,9.09,,--,--,,--,--,,20,5.93
QF_BV/sage/app9/bench_1400,,11,10.62,,--,--,,--,--,,25,8.4
QF_BV/sage/app9/bench_1552,,7,3.3,,--,--,,--,--,,15,1.03
QF_BV/sage/app9/bench_1659,,10,5.51,,--,--,,--,--,,26,1.47
QF_BV/sage/app9/bench_2061,,5,0.15,,65,2.36,,65,1.49,,10,0.06
QF_BV/sage/app9/bench_2127,,1,0.03,,1,0.16,,1,0.06,,1,0.44
QF_BV/sage/app9/bench_2358,,2,0.05,,16,0.12,,16,0.12,,5,0.1
