Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,70,1270.7,,78,892.53,,126,1169.96,,74,867.35
QF_BV/RWS/Example_11.txt,,--,--,,--,--,,--,--,,--,--
QF_BV/RWS/Example_12.txt,,--,--,,53,2498.53,,--,--,,47,3592.29
QF_BV/RWS/Example_13.txt,,48,519.3,,54,278.57,,70,327.72,,50,332.12
QF_BV/RWS/Example_16.txt,,56,713.07,,56,594.58,,78,824.9,,55,479.48
QF_BV/RWS/Example_17.txt,,44,633.01,,48,317.43,,72,503.06,,43,380.54
QF_BV/RWS/Example_3.txt,,60,373.59,,66,321.92,,108,303.29,,59,244.45
QF_BV/RWS/Example_8.txt,,19,81.42,,20,66.4,,29,37.75,,19,57.64
QF_BV/RWS/Example_9.txt,,30,878.34,,34,555.89,,35,414.09,,31,691.91
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,26,1771.72,,--,--,,53,1213.83,,38,266.65
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,28,3136.31,,--,--,,49,2153.08,,43,346.65
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,22,1137.59,,--,--,,29,395.83,,35,103.49
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,16,1416.69,,--,--,,31,789.39,,39,173.04
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,30,1410.36,,--,--,,52,759.31,,45,154.15
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,28,2169.51,,--,--,,46,1253.83,,50,181.96
QF_BV/sage/app1/bench_1126,,7,246.72,,16,379.64,,8,224.54,,7,110.62
QF_BV/sage/app1/bench_134,,9,122.92,,13,124.48,,10,43.17,,10,40.19
QF_BV/sage/app1/bench_1448,,7,283.31,,11,243.43,,8,314.42,,7,105.02
QF_BV/sage/app1/bench_1459,,7,250.01,,14,276.72,,9,293.16,,8,91.17
QF_BV/sage/app1/bench_1470,,7,255.22,,13,221.19,,7,175.8,,8,104.45
QF_BV/sage/app1/bench_1481,,7,259.79,,13,265.66,,8,171.88,,7,91.51
QF_BV/sage/app1/bench_1492,,7,253.04,,14,342.36,,8,201.52,,7,111.53
QF_BV/sage/app1/bench_1525,,7,231.67,,15,370.87,,8,201.55,,7,105.7
QF_BV/sage/app1/bench_1559,,7,261.11,,16,400.88,,8,235.19,,7,101.62
QF_BV/sage/app1/bench_169,,9,107.55,,12,82.79,,14,81.21,,10,57.25
QF_BV/sage/app1/bench_174,,9,107.91,,16,110.82,,12,57.97,,9,36.71
QF_BV/sage/app1/bench_175,,9,110.32,,13,102.53,,11,43.62,,10,35.22
QF_BV/sage/app1/bench_176,,10,118.78,,13,88.21,,11,41.76,,9,40.12
QF_BV/sage/app1/bench_177,,9,113.15,,12,105.05,,11,58.98,,11,47.08
QF_BV/sage/app1/bench_181,,7,312.46,,12,229.74,,7,182.74,,7,144.13
QF_BV/sage/app1/bench_182,,9,110.83,,15,101.89,,13,69.66,,10,44.67
QF_BV/sage/app1/bench_183,,9,103.4,,11,96.33,,12,47.3,,9,35.48
QF_BV/sage/app1/bench_184,,8,92.64,,15,124.54,,12,71.96,,9,35.25
QF_BV/sage/app1/bench_185,,9,108.61,,13,109.95,,12,82.13,,11,38.08
QF_BV/sage/app1/bench_1873,,7,278.97,,10,280.63,,8,226.97,,7,95.37
QF_BV/sage/app1/bench_1877,,7,251.51,,16,323.76,,7,138.48,,7,134.76
QF_BV/sage/app1/bench_188,,9,121.36,,12,83.34,,15,99.17,,10,49.3
QF_BV/sage/app1/bench_191,,8,85.93,,14,100.09,,12,84.78,,10,35.63
QF_BV/sage/app1/bench_1913,,7,299.97,,15,350.18,,9,221.43,,8,119.5
QF_BV/sage/app1/bench_1914,,7,253.33,,15,319.38,,9,310.73,,7,94.09
QF_BV/sage/app1/bench_1915,,7,255.96,,13,307.82,,8,150.78,,7,127.22
QF_BV/sage/app1/bench_1916,,8,257.47,,15,388.25,,8,201.6,,8,159.41
QF_BV/sage/app1/bench_1917,,7,227.18,,11,252.52,,7,184.82,,7,94.67
QF_BV/sage/app1/bench_1920,,7,249.3,,15,273.92,,8,185.79,,7,118.27
QF_BV/sage/app1/bench_1924,,7,240.14,,14,236.66,,8,154.45,,7,167.51
QF_BV/sage/app1/bench_1950,,7,261.93,,11,286.58,,8,170.23,,7,108.64
QF_BV/sage/app1/bench_2004,,7,209.31,,11,185.34,,8,131.58,,8,81.21
QF_BV/sage/app1/bench_2005,,7,190.02,,15,256.56,,8,189.0,,8,77.34
QF_BV/sage/app1/bench_201,,9,106.25,,15,114.54,,16,82.5,,11,41.27
QF_BV/sage/app1/bench_2020,,8,238.7,,16,232.88,,8,177.29,,8,102.17
QF_BV/sage/app1/bench_2021,,7,191.02,,12,210.78,,8,169.43,,8,111.82
QF_BV/sage/app1/bench_2022,,7,187.41,,15,280.39,,8,202.98,,8,87.44
QF_BV/sage/app1/bench_2024,,7,169.35,,12,237.68,,8,167.66,,8,86.87
QF_BV/sage/app1/bench_2025,,7,183.12,,12,181.05,,9,123.18,,8,72.82
QF_BV/sage/app1/bench_2028,,7,200.42,,9,178.66,,9,177.24,,7,68.14
QF_BV/sage/app1/bench_2031,,8,268.59,,13,248.29,,8,160.24,,8,128.37
QF_BV/sage/app1/bench_2088,,8,229.61,,10,168.41,,8,154.6,,8,84.18
QF_BV/sage/app1/bench_2089,,6,272.08,,12,251.89,,7,215.08,,7,133.44
QF_BV/sage/app1/bench_2124,,8,206.24,,12,180.65,,9,113.22,,7,67.74
QF_BV/sage/app1/bench_2128,,7,185.57,,12,226.82,,8,128.75,,8,89.01
QF_BV/sage/app1/bench_2129,,7,262.49,,10,219.79,,9,261.14,,8,107.38
QF_BV/sage/app1/bench_2133,,7,186.79,,10,138.53,,9,152.75,,8,68.25
QF_BV/sage/app1/bench_2135,,7,206.54,,11,192.82,,8,160.05,,8,103.79
QF_BV/sage/app1/bench_2138,,8,239.25,,10,229.84,,9,177.0,,8,92.26
QF_BV/sage/app1/bench_2141,,8,203.97,,10,144.46,,8,116.07,,8,66.36
QF_BV/sage/app1/bench_2173,,8,281.09,,9,286.89,,9,199.22,,8,113.0
QF_BV/sage/app1/bench_2219,,7,209.41,,11,260.18,,8,173.25,,8,102.54
QF_BV/sage/app1/bench_2252,,8,184.85,,10,124.0,,8,76.67,,8,59.23
QF_BV/sage/app1/bench_2257,,8,157.6,,13,164.62,,8,110.46,,8,57.33
QF_BV/sage/app1/bench_2258,,8,207.99,,11,190.35,,11,169.75,,8,91.46
QF_BV/sage/app1/bench_2262,,8,155.4,,10,142.58,,9,127.37,,9,70.03
QF_BV/sage/app1/bench_2263,,8,156.86,,10,146.32,,11,101.46,,8,61.21
QF_BV/sage/app1/bench_2266,,8,176.43,,13,167.04,,10,121.88,,9,75.75
QF_BV/sage/app1/bench_2270,,8,151.85,,10,113.6,,9,110.58,,8,63.07
QF_BV/sage/app1/bench_2293,,8,175.97,,11,169.76,,9,117.68,,8,84.35
QF_BV/sage/app1/bench_2322,,7,297.63,,14,322.57,,7,181.59,,7,107.73
QF_BV/sage/app1/bench_2330,,8,177.72,,11,172.98,,10,133.12,,9,85.8
QF_BV/sage/app1/bench_2365,,8,135.65,,10,94.94,,9,76.49,,9,52.28
QF_BV/sage/app1/bench_2367,,7,266.53,,14,286.36,,7,199.44,,7,105.1
QF_BV/sage/app1/bench_2370,,8,128.77,,12,111.94,,10,96.65,,8,55.65
QF_BV/sage/app1/bench_2371,,8,167.01,,10,131.79,,9,110.79,,10,63.23
