Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,113,2143.76,,130,1773.41,,236,2666.99,,118,1295.34
QF_BV/RWS/Example_11.txt,,--,--,,--,--,,--,--,,--,--
QF_BV/RWS/Example_12.txt,,--,--,,--,--,,--,--,,--,--
QF_BV/RWS/Example_13.txt,,82,910.01,,96,608.85,,161,846.43,,87,566.77
QF_BV/RWS/Example_16.txt,,83,1052.4,,84,973.17,,137,1548.09,,82,684.83
QF_BV/RWS/Example_17.txt,,72,1037.22,,77,620.38,,129,967.84,,71,595.29
QF_BV/RWS/Example_3.txt,,96,572.06,,107,641.89,,222,778.63,,94,366.78
QF_BV/RWS/Example_8.txt,,28,115.82,,32,101.17,,50,63.42,,30,85.92
QF_BV/RWS/Example_9.txt,,51,1412.83,,58,1016.32,,74,979.98,,53,1016.3
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,41,2685.8,,--,--,,76,1812.95,,58,405.98
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,--,--,,--,--,,--,--,,66,551.17
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,36,1759.75,,--,--,,51,748.71,,51,143.63
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,31,2480.51,,--,--,,58,1629.78,,63,254.85
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,44,1977.3,,--,--,,91,1398.05,,67,212.99
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,40,2933.67,,--,--,,90,2856.98,,69,243.16
QF_BV/sage/app1/bench_1126,,15,500.13,,37,829.23,,35,976.07,,18,228.45
QF_BV/sage/app1/bench_134,,18,213.07,,29,253.94,,68,253.44,,23,76.71
QF_BV/sage/app1/bench_1448,,16,576.07,,27,555.83,,31,1074.94,,16,197.2
QF_BV/sage/app1/bench_1459,,16,522.43,,34,703.22,,56,1792.54,,18,184.17
QF_BV/sage/app1/bench_1470,,16,532.87,,33,573.89,,43,1057.31,,18,200.05
QF_BV/sage/app1/bench_1481,,18,617.03,,28,540.68,,54,1168.58,,19,221.42
QF_BV/sage/app1/bench_1492,,16,541.94,,31,705.85,,39,994.99,,17,235.62
QF_BV/sage/app1/bench_1525,,16,488.8,,36,901.66,,39,936.13,,18,205.88
QF_BV/sage/app1/bench_1559,,16,580.92,,37,876.67,,42,1171.84,,17,186.61
QF_BV/sage/app1/bench_169,,17,178.38,,27,173.84,,105,550.31,,25,107.5
QF_BV/sage/app1/bench_174,,17,180.36,,29,190.43,,75,328.6,,21,73.3
QF_BV/sage/app1/bench_175,,18,188.77,,24,176.04,,109,380.66,,23,70.06
QF_BV/sage/app1/bench_176,,20,211.17,,29,177.14,,73,246.31,,21,74.45
QF_BV/sage/app1/bench_177,,16,179.48,,23,192.66,,101,472.74,,27,92.46
QF_BV/sage/app1/bench_181,,15,597.28,,31,584.68,,29,717.38,,17,256.71
QF_BV/sage/app1/bench_182,,16,170.17,,31,197.32,,105,542.75,,24,84.25
QF_BV/sage/app1/bench_183,,17,174.17,,26,207.5,,52,178.17,,20,71.86
QF_BV/sage/app1/bench_184,,16,168.32,,33,258.95,,127,624.02,,22,70.45
QF_BV/sage/app1/bench_185,,17,178.96,,26,203.46,,100,632.33,,23,69.52
QF_BV/sage/app1/bench_1873,,16,559.63,,25,642.38,,37,964.87,,17,186.61
QF_BV/sage/app1/bench_1877,,16,541.73,,42,834.38,,48,918.93,,17,259.8
QF_BV/sage/app1/bench_188,,16,194.08,,26,163.98,,73,468.7,,22,84.79
QF_BV/sage/app1/bench_191,,16,153.6,,27,178.97,,152,1113.23,,24,71.6
QF_BV/sage/app1/bench_1913,,17,754.32,,39,873.96,,41,1005.44,,19,242.61
QF_BV/sage/app1/bench_1914,,15,488.0,,34,687.52,,50,1651.7,,17,181.67
QF_BV/sage/app1/bench_1915,,16,560.56,,31,749.19,,42,751.47,,17,262.24
QF_BV/sage/app1/bench_1916,,17,530.97,,33,809.74,,34,925.45,,19,299.78
QF_BV/sage/app1/bench_1917,,16,481.24,,25,549.74,,38,944.89,,18,209.32
QF_BV/sage/app1/bench_1920,,15,479.7,,30,532.16,,48,1315.44,,18,280.46
QF_BV/sage/app1/bench_1924,,16,508.6,,32,551.76,,45,853.66,,20,382.46
QF_BV/sage/app1/bench_1950,,17,578.21,,25,611.84,,49,1140.59,,18,243.43
QF_BV/sage/app1/bench_2004,,16,452.03,,25,387.57,,66,986.24,,17,142.86
QF_BV/sage/app1/bench_2005,,16,427.26,,40,674.85,,56,1141.24,,21,165.47
QF_BV/sage/app1/bench_201,,19,196.17,,35,254.15,,145,742.48,,24,75.45
QF_BV/sage/app1/bench_2020,,17,454.84,,35,486.95,,50,1121.9,,18,196.46
QF_BV/sage/app1/bench_2021,,17,449.43,,27,457.34,,49,1057.78,,19,219.87
QF_BV/sage/app1/bench_2022,,16,404.01,,38,697.43,,55,1341.15,,19,174.25
QF_BV/sage/app1/bench_2024,,16,354.57,,26,487.27,,61,1290.07,,18,167.3
QF_BV/sage/app1/bench_2025,,18,435.5,,28,435.96,,54,746.41,,18,142.67
QF_BV/sage/app1/bench_2028,,18,455.35,,20,355.08,,45,962.28,,16,126.15
QF_BV/sage/app1/bench_2031,,17,548.17,,29,538.95,,74,1616.41,,21,258.63
QF_BV/sage/app1/bench_2088,,18,490.46,,23,341.06,,49,921.19,,21,178.91
QF_BV/sage/app1/bench_2089,,14,560.53,,28,547.92,,31,977.44,,15,254.33
QF_BV/sage/app1/bench_2124,,18,436.58,,29,415.97,,52,715.69,,19,146.68
QF_BV/sage/app1/bench_2128,,17,423.95,,28,513.88,,58,909.26,,20,180.37
QF_BV/sage/app1/bench_2129,,16,578.04,,21,447.95,,52,1528.7,,20,248.93
QF_BV/sage/app1/bench_2133,,17,439.43,,22,293.05,,65,1061.24,,21,154.77
QF_BV/sage/app1/bench_2135,,18,475.65,,25,396.24,,63,1198.43,,20,226.9
QF_BV/sage/app1/bench_2138,,17,466.74,,22,464.18,,47,1054.49,,19,179.38
QF_BV/sage/app1/bench_2141,,16,371.15,,24,307.21,,46,688.91,,19,137.96
QF_BV/sage/app1/bench_2173,,17,558.46,,22,654.02,,70,1736.41,,18,204.72
QF_BV/sage/app1/bench_2219,,17,486.53,,25,560.82,,58,1518.09,,21,226.89
QF_BV/sage/app1/bench_2252,,18,385.32,,21,238.62,,52,448.91,,20,116.81
QF_BV/sage/app1/bench_2257,,17,315.13,,29,351.02,,62,781.63,,19,111.04
QF_BV/sage/app1/bench_2258,,17,414.13,,22,346.48,,44,655.5,,19,174.74
QF_BV/sage/app1/bench_2262,,18,312.0,,22,280.16,,38,464.58,,22,148.41
QF_BV/sage/app1/bench_2263,,17,306.28,,21,276.08,,67,603.11,,19,112.18
QF_BV/sage/app1/bench_2266,,18,362.82,,28,340.23,,64,709.04,,21,136.78
QF_BV/sage/app1/bench_2270,,17,292.32,,21,215.41,,51,539.25,,20,126.84
QF_BV/sage/app1/bench_2293,,18,356.01,,27,371.69,,46,587.35,,19,156.5
QF_BV/sage/app1/bench_2322,,14,548.26,,31,694.09,,27,674.23,,16,199.75
QF_BV/sage/app1/bench_2330,,19,387.51,,24,350.81,,33,471.16,,20,154.89
QF_BV/sage/app1/bench_2365,,16,243.53,,21,177.24,,77,622.51,,22,103.85
QF_BV/sage/app1/bench_2367,,15,548.2,,29,558.6,,26,747.56,,16,196.34
QF_BV/sage/app1/bench_2370,,18,254.35,,27,228.03,,58,477.66,,22,116.52
QF_BV/sage/app1/bench_2371,,19,333.73,,20,252.28,,46,528.96,,24,124.16
QF_BV/sage/app1/bench_2375,,18,261.82,,22,196.12,,65,535.59,,21,105.94
QF_BV/sage/app1/bench_2376,,19,286.71,,25,236.71,,92,807.62,,20,124.57
QF_BV/sage/app1/bench_2380,,18,252.22,,25,231.6,,57,434.06,,21,127.84
QF_BV/sage/app1/bench_2383,,17,244.21,,19,175.98,,53,389.32,,21,107.06
QF_BV/sage/app1/bench_2405,,17,273.65,,20,222.04,,52,438.51,,17,125.32
QF_BV/sage/app1/bench_2428,,19,315.69,,21,209.8,,59,533.75,,22,101.58
QF_BV/sage/app1/bench_2461,,18,215.05,,24,218.4,,48,282.64,,22,107.93
QF_BV/sage/app1/bench_2465,,18,244.66,,25,213.11,,58,385.51,,22,98.78
QF_BV/sage/app1/bench_2466,,17,212.25,,25,224.78,,69,364.01,,23,95.03
QF_BV/sage/app1/bench_2468,,19,262.74,,26,220.42,,62,459.38,,21,89.05
QF_BV/sage/app1/bench_2472,,17,214.27,,24,242.15,,50,284.8,,20,89.62
QF_BV/sage/app1/bench_2473,,17,216.38,,24,223.14,,62,311.58,,25,101.84
QF_BV/sage/app1/bench_2474,,19,264.25,,26,227.2,,81,564.19,,22,102.35
QF_BV/sage/app1/bench_2477,,18,242.94,,25,249.94,,127,843.88,,24,105.08
QF_BV/sage/app1/bench_2481,,17,212.5,,28,224.88,,72,313.99,,25,105.66
QF_BV/sage/app1/bench_2525,,18,230.07,,26,239.9,,49,325.52,,22,114.63
QF_BV/sage/app1/bench_2529,,17,208.99,,31,295.61,,63,365.3,,22,97.35
QF_BV/sage/app1/bench_2547,,19,248.73,,24,229.42,,74,541.0,,22,112.11
QF_BV/sage/app1/bench_2582,,23,243.03,,23,163.04,,75,403.28,,25,90.95
QF_BV/sage/app1/bench_2586,,21,222.97,,32,220.88,,67,352.5,,25,101.35
QF_BV/sage/app1/bench_2587,,18,215.96,,23,160.32,,70,436.96,,22,105.19
QF_BV/sage/app1/bench_2588,,19,234.85,,26,189.81,,62,380.22,,23,79.61
QF_BV/sage/app1/bench_2593,,20,224.67,,24,170.58,,50,216.07,,26,106.31
QF_BV/sage/app1/bench_2594,,17,191.38,,30,237.55,,75,285.68,,23,83.91
QF_BV/sage/app1/bench_2595,,19,221.06,,26,223.43,,57,309.92,,25,114.52
QF_BV/sage/app1/bench_2598,,18,204.67,,21,155.48,,61,353.95,,29,116.33
QF_BV/sage/app1/bench_2602,,17,191.29,,25,180.68,,50,282.38,,22,136.44
QF_BV/sage/app1/bench_2634,,17,230.76,,26,209.7,,69,423.06,,23,84.64
QF_BV/sage/app1/bench_2644,,14,499.02,,40,969.24,,27,682.91,,16,230.85
QF_BV/sage/app1/bench_2660,,19,212.88,,27,194.31,,101,525.5,,25,116.19
QF_BV/sage/app1/bench_268,,18,191.03,,32,217.22,,98,405.81,,19,60.08
QF_BV/sage/app1/bench_29,,19,267.51,,21,210.02,,79,439.54,,24,98.72
QF_BV/sage/app1/bench_310,,19,228.62,,26,223.26,,76,454.92,,23,96.73
QF_BV/sage/app1/bench_313,,18,201.99,,30,247.36,,121,662.78,,20,101.68
QF_BV/sage/app1/bench_32,,18,258.22,,21,220.59,,76,508.64,,23,136.33
QF_BV/sage/app1/bench_329,,28,284.64,,38,314.86,,335,1932.8,,35,134.97
QF_BV/sage/app1/bench_333,,26,265.77,,38,284.78,,--,--,,34,135.43
QF_BV/sage/app1/bench_334,,24,256.94,,33,256.51,,--,--,,37,118.6
QF_BV/sage/app1/bench_335,,26,253.21,,43,288.44,,--,--,,39,121.18
QF_BV/sage/app1/bench_338,,18,205.61,,31,256.08,,168,936.45,,22,95.17
QF_BV/sage/app1/bench_342,,26,266.72,,45,317.5,,459,3129.81,,33,100.86
QF_BV/sage/app1/bench_343,,26,285.17,,36,283.35,,457,2805.34,,36,98.59
QF_BV/sage/app1/bench_344,,26,279.12,,40,279.73,,--,--,,39,110.88
QF_BV/sage/app1/bench_345,,17,194.0,,23,154.76,,100,581.39,,23,84.78
QF_BV/sage/app1/bench_349,,17,191.53,,24,212.04,,87,363.36,,20,70.72
QF_BV/sage/app1/bench_352,,25,280.34,,43,279.37,,--,--,,35,120.83
QF_BV/sage/app1/bench_356,,24,247.95,,42,345.27,,--,--,,32,122.0
QF_BV/sage/app1/bench_37,,15,542.54,,38,744.93,,51,987.69,,19,223.86
QF_BV/sage/app1/bench_372,,28,288.41,,48,378.73,,--,--,,32,104.94
QF_BV/sage/app1/bench_4,,15,527.77,,38,830.75,,53,1322.02,,15,208.92
QF_BV/sage/app1/bench_407,,24,231.44,,41,262.31,,--,--,,29,106.52
QF_BV/sage/app1/bench_411,,25,245.83,,32,189.08,,--,--,,31,97.45
QF_BV/sage/app1/bench_412,,24,243.04,,28,198.77,,443,2197.64,,30,113.32
QF_BV/sage/app1/bench_413,,25,252.55,,35,253.23,,579,3306.2,,28,86.04
QF_BV/sage/app1/bench_415,,28,265.35,,36,244.89,,--,--,,33,107.76
QF_BV/sage/app1/bench_419,,25,241.77,,34,235.69,,402,2279.13,,29,109.49
QF_BV/sage/app1/bench_420,,25,246.32,,34,231.39,,393,2688.52,,31,103.37
QF_BV/sage/app1/bench_421,,24,240.07,,33,200.31,,324,2751.14,,26,93.89
QF_BV/sage/app1/bench_422,,22,217.68,,34,277.26,,247,1651.27,,30,111.27
