Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,5,17.17,,5,17.59,,5,10.53,,5,12.11
QF_BV/RWS/Example_14.txt,,5,27.46,,5,22.48,,6,23.35,,5,22.53
QF_BV/RWS/Example_2.txt,,5,15.64,,5,15.44,,5,13.95,,5,11.51
QF_BV/RWS/Example_4.txt,,4,17.94,,4,13.45,,4,11.61,,4,13.63
QF_BV/RWS/Example_5.txt,,4,16.92,,4,14.35,,4,10.64,,4,9.89
QF_BV/RWS/Example_6.txt,,3,5.33,,3,5.38,,3,4.75,,3,5.81
QF_BV/bench_ab/a168test0018,,1,0.04,,1,0.15,,1,0.03,,1,0.04
QF_BV/bench_ab/a403test0043,,2,0.05,,3,0.09,,2,0.04,,2,0.06
QF_BV/bench_ab/a423test0008,,1,0.02,,1,0.04,,1,0.02,,1,0.04
QF_BV/bench_ab/a481test0001,,3,0.2,,--,--,,3,0.16,,4,0.28
QF_BV/bench_ab/a493test0006,,3,0.22,,5,0.28,,4,0.36,,3,0.33
QF_BV/bench_ab/a503test0089,,1,0.06,,1,0.06,,1,0.03,,1,0.07
QF_BV/bench_ab/a628test0066,,1,0.07,,1,0.05,,1,0.05,,1,0.05
QF_BV/bench_ab/a639test0017,,19,0.29,,208,4.58,,14,0.15,,25,0.38
QF_BV/bench_ab/a651test0090,,1,0.07,,1,0.05,,1,0.03,,1,0.04
QF_BV/bench_ab/a655test0003,,4,0.06,,9,0.21,,3,0.03,,4,0.07
QF_BV/bench_ab/a656test0092,,1,0.05,,1,0.02,,1,0.03,,1,0.03
QF_BV/bench_ab/a659test0071,,1,0.05,,1,0.04,,1,0.03,,1,0.06
QF_BV/bench_ab/a688test0103,,1,0.03,,1,0.05,,1,0.02,,1,0.04
QF_BV/bmc-bv/adpcm,,1,0.02,,--,--,,1,0.02,,1,0.03
