Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,80,633.42,,77,954.9,,70,1270.7,,70,1767.62
QF_BV/RWS/Example_11.txt,,--,--,,--,--,,--,--,,--,--
QF_BV/RWS/Example_12.txt,,54,1854.46,,--,--,,--,--,,--,--
QF_BV/RWS/Example_13.txt,,59,215.34,,56,320.13,,48,519.3,,46,723.98
QF_BV/RWS/Example_16.txt,,58,366.82,,57,492.1,,56,713.07,,51,891.85
QF_BV/RWS/Example_17.txt,,49,254.95,,48,451.26,,44,633.01,,42,715.92
QF_BV/RWS/Example_3.txt,,69,270.97,,64,271.06,,60,373.59,,55,411.12
QF_BV/RWS/Example_8.txt,,22,65.89,,19,55.02,,19,81.42,,17,99.11
QF_BV/RWS/Example_9.txt,,33,393.09,,31,599.23,,30,878.34,,28,1050.34
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,--,--,,15,997.29,,26,1771.72,,24,1689.2
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,--,--,,15,1753.16,,28,3136.31,,24,2908.05
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,--,--,,12,559.86,,22,1137.59,,22,1203.7
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,--,--,,16,1291.65,,16,1416.69,,23,1939.46
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,--,--,,24,982.06,,30,1410.36,,22,1024.47
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,--,--,,19,1359.17,,28,2169.51,,27,2056.08
QF_BV/sage/app1/bench_1126,,7,183.39,,7,184.76,,7,246.72,,7,310.19
QF_BV/sage/app1/bench_134,,9,143.37,,9,100.63,,9,122.92,,9,137.02
QF_BV/sage/app1/bench_1448,,7,173.89,,7,173.67,,7,283.31,,7,332.78
QF_BV/sage/app1/bench_1459,,7,195.94,,7,190.21,,7,250.01,,7,298.71
QF_BV/sage/app1/bench_1470,,8,187.6,,7,179.58,,7,255.22,,7,295.92
QF_BV/sage/app1/bench_1481,,8,177.1,,7,180.59,,7,259.79,,7,249.12
QF_BV/sage/app1/bench_1492,,7,155.33,,7,195.2,,7,253.04,,7,262.76
QF_BV/sage/app1/bench_1525,,8,188.38,,7,200.58,,7,231.67,,7,303.21
QF_BV/sage/app1/bench_1559,,8,187.63,,7,198.13,,7,261.11,,7,250.73
QF_BV/sage/app1/bench_169,,9,83.66,,9,80.31,,9,107.55,,9,122.42
QF_BV/sage/app1/bench_174,,9,86.72,,9,82.71,,9,107.91,,8,117.08
QF_BV/sage/app1/bench_175,,9,120.96,,9,87.47,,9,110.32,,9,104.48
