Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,135,1152.42,,127,1705.41,,113,2143.76,,109,2869.41
QF_BV/RWS/Example_11.txt,,--,--,,--,--,,--,--,,--,--
QF_BV/RWS/Example_12.txt,,--,--,,--,--,,--,--,,--,--
QF_BV/RWS/Example_13.txt,,103,395.58,,93,535.5,,82,910.01,,78,1220.35
QF_BV/RWS/Example_16.txt,,90,566.78,,87,785.53,,83,1052.4,,77,1344.49
QF_BV/RWS/Example_17.txt,,82,417.93,,80,748.4,,72,1037.22,,69,1147.31
QF_BV/RWS/Example_3.txt,,109,402.06,,106,473.01,,96,572.06,,88,662.78
QF_BV/RWS/Example_8.txt,,34,101.6,,30,81.09,,28,115.82,,28,155.72
QF_BV/RWS/Example_9.txt,,55,708.5,,53,1021.11,,51,1412.83,,48,1750.05
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,--,--,,35,2119.96,,41,2685.8,,37,2489.29
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,--,--,,31,3193.82,,--,--,,--,--
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,--,--,,26,1068.97,,36,1759.75,,36,1866.43
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,--,--,,28,2123.92,,31,2480.51,,39,3060.44
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,--,--,,42,1576.03,,44,1977.3,,36,1561.12
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,--,--,,34,2155.86,,40,2933.67,,42,2943.35
QF_BV/sage/app1/bench_1126,,16,361.35,,14,335.59,,15,500.13,,16,641.41
QF_BV/sage/app1/bench_134,,15,191.66,,17,168.31,,18,213.07,,17,232.66
QF_BV/sage/app1/bench_1448,,17,375.18,,15,351.83,,16,576.07,,15,634.48
QF_BV/sage/app1/bench_1459,,18,426.43,,16,421.94,,16,522.43,,15,587.65
QF_BV/sage/app1/bench_1470,,17,356.76,,15,369.01,,16,532.87,,16,608.37
QF_BV/sage/app1/bench_1481,,17,351.79,,15,373.7,,18,617.03,,15,489.37
QF_BV/sage/app1/bench_1492,,16,385.3,,15,395.83,,16,541.94,,15,504.74
QF_BV/sage/app1/bench_1525,,19,412.47,,15,414.73,,16,488.8,,15,584.24
QF_BV/sage/app1/bench_1559,,17,364.66,,16,446.43,,16,580.92,,16,541.81
QF_BV/sage/app1/bench_169,,18,157.12,,20,153.42,,17,178.38,,18,216.99
QF_BV/sage/app1/bench_174,,19,154.66,,17,140.24,,17,180.36,,17,216.64
QF_BV/sage/app1/bench_175,,16,173.13,,17,148.46,,18,188.77,,16,168.37
QF_BV/sage/app1/bench_176,,18,150.72,,18,144.21,,20,211.17,,18,193.51
QF_BV/sage/app1/bench_177,,21,177.05,,19,150.35,,16,179.48,,18,213.36
QF_BV/sage/app1/bench_181,,16,403.48,,14,430.73,,15,597.28,,14,536.58
QF_BV/sage/app1/bench_182,,19,152.44,,17,135.52,,16,170.17,,18,205.53
QF_BV/sage/app1/bench_183,,19,149.92,,18,173.73,,17,174.17,,17,191.56
QF_BV/sage/app1/bench_184,,19,159.7,,18,161.56,,16,168.32,,17,187.93
QF_BV/sage/app1/bench_185,,18,137.47,,19,150.49,,17,178.96,,18,193
QF_BV/sage/app1/bench_1873,,17,442.42,,15,407.24,,16,559.63,,16,599.93
QF_BV/sage/app1/bench_1877,,18,390.32,,16,385.37,,16,541.73,,16,579.38
QF_BV/sage/app1/bench_188,,19,193.4,,17,137.26,,16,194.08,,16,201.07
QF_BV/sage/app1/bench_191,,17,147.94,,17,142.95,,16,153.6,,18,195.87
QF_BV/sage/app1/bench_1913,,18,383.27,,17,465.92,,17,754.32,,16,622.03
QF_BV/sage/app1/bench_1914,,16,366.88,,15,418.69,,15,488,,14,496.55
QF_BV/sage/app1/bench_1915,,17,365.73,,17,416.52,,16,560.56,,17,637.13
QF_BV/sage/app1/bench_1916,,18,396.77,,17,388.7,,17,530.97,,15,499.26
QF_BV/sage/app1/bench_1917,,17,357.28,,18,449.38,,16,481.24,,14,477.45
QF_BV/sage/app1/bench_1920,,16,454.48,,17,379.86,,15,479.7,,16,525.78
QF_BV/sage/app1/bench_1924,,18,358.75,,16,350.05,,16,508.6,,16,589.32
QF_BV/sage/app1/bench_1950,,19,392.45,,15,360.38,,17,578.21,,16,648.4
QF_BV/sage/app1/bench_2004,,18,286.45,,17,393.87,,16,452.03,,17,528.11
QF_BV/sage/app1/bench_2005,,18,293.03,,16,366.78,,16,427.26,,17,463.94
QF_BV/sage/app1/bench_201,,22,171.9,,17,138.66,,19,196.17,,18,206.09
QF_BV/sage/app1/bench_2020,,18,299.5,,18,359.03,,17,454.84,,17,556.43
QF_BV/sage/app1/bench_2021,,20,308.33,,16,289.98,,17,449.43,,16,521.89
QF_BV/sage/app1/bench_2022,,18,299.73,,18,374.57,,16,404.01,,18,550.46
QF_BV/sage/app1/bench_2024,,18,288.75,,17,323.63,,16,354.57,,16,484.52
QF_BV/sage/app1/bench_2025,,19,342.82,,17,314.66,,18,435.5,,17,514.54
QF_BV/sage/app1/bench_2028,,18,293.83,,17,339.75,,18,455.35,,16,490.66
QF_BV/sage/app1/bench_2031,,21,451.85,,16,405.49,,17,548.17,,16,585.44
QF_BV/sage/app1/bench_2088,,20,332.05,,16,292.17,,18,490.46,,17,493.13
QF_BV/sage/app1/bench_2089,,16,362.34,,15,449.88,,14,560.53,,15,657.07
QF_BV/sage/app1/bench_2124,,19,300.3,,16,291.91,,18,436.58,,17,434.39
QF_BV/sage/app1/bench_2128,,19,350.95,,18,401.2,,17,423.95,,17,442.39
QF_BV/sage/app1/bench_2129,,19,542.57,,18,565.47,,16,578.04,,17,668.64
QF_BV/sage/app1/bench_2133,,17,261.57,,16,329.97,,17,439.43,,16,462.26
QF_BV/sage/app1/bench_2135,,17,312.18,,18,343.38,,18,475.65,,17,506.54
QF_BV/sage/app1/bench_2138,,19,348.94,,19,383.4,,17,466.74,,17,543.59
QF_BV/sage/app1/bench_2141,,19,313.32,,18,322.22,,16,371.15,,17,448.3
QF_BV/sage/app1/bench_2173,,17,369.9,,18,504.39,,17,558.46,,14,443.2
QF_BV/sage/app1/bench_2219,,18,360.48,,17,411.98,,17,486.53,,17,630.19
QF_BV/sage/app1/bench_2252,,18,221.77,,18,253.84,,18,385.32,,17,324.77
QF_BV/sage/app1/bench_2257,,20,284.98,,17,262.92,,17,315.13,,17,380.18
QF_BV/sage/app1/bench_2258,,19,302.4,,16,278.28,,17,414.13,,17,429.89
QF_BV/sage/app1/bench_2262,,19,235.27,,18,262.69,,18,312,,17,304.87
QF_BV/sage/app1/bench_2263,,21,262.34,,18,241.45,,17,306.28,,18,336.57
QF_BV/sage/app1/bench_2266,,20,275.61,,19,284.97,,18,362.82,,20,389.08
QF_BV/sage/app1/bench_2270,,19,237.32,,18,241.53,,17,292.32,,17,348.98
QF_BV/sage/app1/bench_2293,,19,280.54,,17,280.56,,18,356.01,,16,323.72
QF_BV/sage/app1/bench_2322,,17,398.46,,14,477.53,,14,548.26,,14,557.18
QF_BV/sage/app1/bench_2330,,18,282.81,,17,282.1,,19,387.51,,19,418.27
QF_BV/sage/app1/bench_2365,,18,186.51,,19,204.23,,16,243.53,,18,305.21
QF_BV/sage/app1/bench_2367,,16,317.24,,15,421.15,,15,548.2,,14,651.05
QF_BV/sage/app1/bench_2370,,20,212.51,,19,225.74,,18,254.35,,18,260.45
QF_BV/sage/app1/bench_2371,,19,239.09,,18,252.29,,19,333.73,,18,342.82
QF_BV/sage/app1/bench_2375,,20,350.32,,19,234.4,,18,261.82,,17,258.97
QF_BV/sage/app1/bench_2376,,20,222.37,,19,212.25,,19,286.71,,19,279.81
QF_BV/sage/app1/bench_2380,,20,219.09,,20,221.66,,18,252.22,,18,316.6
QF_BV/sage/app1/bench_2383,,20,224.77,,21,231.82,,17,244.21,,17,266.57
QF_BV/sage/app1/bench_2405,,18,202.51,,16,193.35,,17,273.65,,16,253.8
QF_BV/sage/app1/bench_2428,,18,220.47,,19,215.6,,19,315.69,,19,364.19
QF_BV/sage/app1/bench_2461,,20,177.6,,17,184.05,,18,215.05,,17,248.09
QF_BV/sage/app1/bench_2465,,16,162.49,,19,183.18,,18,244.66,,18,237.06
QF_BV/sage/app1/bench_2466,,21,195.96,,18,174.54,,17,212.25,,18,246.92
QF_BV/sage/app1/bench_2468,,18,176.75,,20,243.22,,19,262.74,,18,259.39
QF_BV/sage/app1/bench_2472,,22,205.76,,18,194.78,,17,214.27,,18,266.23
QF_BV/sage/app1/bench_2473,,18,165.51,,20,210.36,,17,216.38,,18,231.11
QF_BV/sage/app1/bench_2474,,22,208.49,,18,164.46,,19,264.25,,20,264.4
QF_BV/sage/app1/bench_2477,,21,264.4,,17,178.96,,18,242.94,,20,285.63
QF_BV/sage/app1/bench_2481,,18,155.84,,18,164.86,,17,212.5,,16,222.6
QF_BV/sage/app1/bench_2525,,19,166.31,,17,185.79,,18,230.07,,17,276.41
QF_BV/sage/app1/bench_2529,,17,147.71,,20,182.01,,17,208.99,,18,252.04
QF_BV/sage/app1/bench_2547,,18,162.63,,19,201.33,,19,248.73,,21,281.66
QF_BV/sage/app1/bench_2582,,22,194.22,,20,215.75,,23,243.03,,19,240.84
QF_BV/sage/app1/bench_2586,,21,184.54,,19,160.26,,21,222.97,,19,253.57
QF_BV/sage/app1/bench_2587,,20,173.1,,18,156.98,,18,215.96,,19,233.34
QF_BV/sage/app1/bench_2588,,18,173.9,,17,166.72,,19,234.85,,17,207.71
QF_BV/sage/app1/bench_2593,,19,241.19,,20,165.27,,20,224.67,,17,199.48
QF_BV/sage/app1/bench_2594,,20,185.9,,20,205.91,,17,191.38,,18,242.85
QF_BV/sage/app1/bench_2595,,21,207.85,,17,172.01,,19,221.06,,17,239.93
QF_BV/sage/app1/bench_2598,,19,160.92,,20,193.59,,18,204.67,,18,232.22
QF_BV/sage/app1/bench_2602,,20,174.51,,18,166.98,,17,191.29,,19,226.96
QF_BV/sage/app1/bench_2634,,20,180.53,,19,198.94,,17,230.76,,16,222.78
QF_BV/sage/app1/bench_2644,,18,387.37,,15,393.89,,14,499.02,,15,551.32
QF_BV/sage/app1/bench_2660,,19,175.78,,20,200.63,,19,212.88,,19,230.18
QF_BV/sage/app1/bench_268,,19,160.24,,18,149.93,,18,191.03,,17,180.41
QF_BV/sage/app1/bench_29,,20,249.45,,18,194.73,,19,267.51,,18,256.39
QF_BV/sage/app1/bench_310,,22,207.32,,20,180.25,,19,228.62,,21,261.52
QF_BV/sage/app1/bench_313,,20,203.87,,20,178.09,,18,201.99,,18,236.92
QF_BV/sage/app1/bench_32,,20,178.82,,18,194.65,,18,258.22,,18,255.09
QF_BV/sage/app1/bench_329,,29,266.34,,29,244.99,,28,284.64,,30,376.76
QF_BV/sage/app1/bench_333,,30,285.93,,28,218.03,,26,265.77,,28,334.5
QF_BV/sage/app1/bench_334,,32,284.09,,31,269.96,,24,256.94,,27,310.5
QF_BV/sage/app1/bench_335,,31,265.93,,27,237.22,,26,253.21,,29,345.46
QF_BV/sage/app1/bench_338,,21,184.18,,18,162.11,,18,205.61,,18,237.33
QF_BV/sage/app1/bench_342,,31,229.54,,25,230.99,,26,266.72,,24,277.24
QF_BV/sage/app1/bench_343,,30,384.58,,29,237.08,,26,285.17,,24,266.92
QF_BV/sage/app1/bench_344,,31,238.41,,26,227.01,,26,279.12,,26,300.49
QF_BV/sage/app1/bench_345,,19,156.05,,18,168.08,,17,194,,17,209.37
QF_BV/sage/app1/bench_349,,20,181.95,,17,160.91,,17,191.53,,17,210.97
QF_BV/sage/app1/bench_352,,31,226.96,,30,228.3,,25,280.34,,26,298.01
QF_BV/sage/app1/bench_356,,29,224.29,,25,199.15,,24,247.95,,25,283.8
QF_BV/sage/app1/bench_37,,17,353.69,,14,363.79,,15,542.54,,15,539.06
QF_BV/sage/app1/bench_372,,30,298.78,,26,209.32,,28,288.41,,26,283.56
QF_BV/sage/app1/bench_4,,15,421.12,,13,345.66,,15,527.77,,14,555.76
QF_BV/sage/app1/bench_407,,26,227.42,,26,224.27,,24,231.44,,24,251.47
QF_BV/sage/app1/bench_411,,28,235.2,,26,212.99,,25,245.83,,24,281.56
QF_BV/sage/app1/bench_412,,27,283.78,,24,195.95,,24,243.04,,23,264.91
QF_BV/sage/app1/bench_413,,27,199.01,,25,192.53,,25,252.55,,23,230.67
QF_BV/sage/app1/bench_415,,31,242.85,,25,228.61,,28,265.35,,27,279.8
QF_BV/sage/app1/bench_419,,25,296.84,,25,205.18,,25,241.77,,24,248.4
QF_BV/sage/app1/bench_420,,23,184.6,,22,170.89,,25,246.32,,23,243.23
QF_BV/sage/app1/bench_421,,25,250.78,,24,192.87,,24,240.07,,24,257.01
QF_BV/sage/app1/bench_422,,23,169.07,,24,203.64,,22,217.68,,24,272.33
QF_BV/sage/app1/bench_426,,17,122.23,,14,117.12,,16,167.68,,17,181.38
QF_BV/sage/app1/bench_429,,24,171.22,,25,176.22,,23,230.93,,25,246.83
QF_BV/sage/app1/bench_443,,25,181.82,,23,193.86,,21,236.83,,22,268.92
QF_BV/sage/app1/bench_47,,19,179.02,,18,170.97,,18,222.17,,20,267.37
QF_BV/sage/app1/bench_52,,19,163.28,,18,195.88,,18,229.39,,17,213.13
QF_BV/sage/app1/bench_53,,20,301.27,,17,166.56,,19,214.62,,18,226.58
QF_BV/sage/app1/bench_54,,18,154.36,,18,187.26,,18,220.2,,19,249.53
QF_BV/sage/app1/bench_55,,18,159.03,,19,188.24,,19,243.47,,19,268.7
QF_BV/sage/app1/bench_552,,29,219.03,,27,222.97,,30,287.93,,27,281.66
QF_BV/sage/app1/bench_556,,25,203.4,,24,188.01,,25,237.76,,25,253.93
QF_BV/sage/app1/bench_562,,23,163.16,,21,149.1,,24,231.16,,24,237.68
QF_BV/sage/app1/bench_564,,22,260.86,,20,154.19,,22,189.6,,21,215.55
QF_BV/sage/app1/bench_567,,24,156.96,,23,175.12,,22,200.73,,23,230.36
QF_BV/sage/app1/bench_571,,21,124.56,,21,180.29,,24,212.62,,22,235.34
QF_BV/sage/app1/bench_60,,19,183.81,,18,162.8,,18,227.66,,20,267.19
QF_BV/sage/app1/bench_602,,23,157.99,,22,171.09,,20,206.01,,22,269.42
QF_BV/sage/app1/bench_61,,17,223.71,,18,167.64,,18,197.81,,19,222.23
QF_BV/sage/app1/bench_611,,21,150.95,,21,192.29,,20,219.44,,21,215.47
QF_BV/sage/app1/bench_62,,22,192.19,,18,179.14,,18,214.72,,18,217.87
QF_BV/sage/app1/bench_620,,21,150.64,,21,200.35,,20,209.88,,20,219.4
QF_BV/sage/app1/bench_629,,23,160.1,,22,174.61,,22,217.83,,21,232.4
QF_BV/sage/app1/bench_63,,18,149.02,,19,188.12,,18,219.38,,16,205.23
QF_BV/sage/app1/bench_638,,20,170.27,,21,182.01,,22,194.92,,21,208.51
QF_BV/sage/app1/bench_646,,22,145.09,,22,162.97,,22,191.86,,21,234.29
QF_BV/sage/app1/bench_655,,22,174.63,,24,155.63,,20,185.69,,22,264.12
QF_BV/sage/app1/bench_66,,18,168.24,,18,181.18,,18,205.08,,18,230.26
QF_BV/sage/app1/bench_664,,23,181.72,,21,144.38,,22,201.14,,20,210.57
QF_BV/sage/app1/bench_674,,22,142.93,,21,147.64,,21,197.43,,21,226.04
QF_BV/sage/app1/bench_681,,18,408.41,,15,472.05,,15,605.75,,15,633.84
QF_BV/sage/app1/bench_683,,22,145.71,,21,140.05,,21,191.32,,21,207.69
QF_BV/sage/app1/bench_69,,18,174.04,,19,166.49,,21,220.58,,20,250.95
QF_BV/sage/app1/bench_691,,23,140.84,,22,169.88,,24,210.21,,22,202.23
QF_BV/sage/app1/bench_692,,17,587.71,,15,374.66,,15,554.89,,14,612.85
QF_BV/sage/app1/bench_699,,23,164.56,,21,136.84,,22,175.09,,23,229.99
QF_BV/sage/app1/bench_707,,22,131.76,,21,151.13,,23,188.28,,22,224.4
QF_BV/sage/app1/bench_715,,22,191.61,,22,152.08,,21,182.49,,22,190.16
QF_BV/sage/app1/bench_722,,24,148.16,,21,132.24,,23,196.83,,21,186.53
QF_BV/sage/app1/bench_730,,22,125.57,,23,164.86,,22,184.52,,21,203.22
QF_BV/sage/app1/bench_738,,22,145.36,,23,135.09,,23,174.53,,22,191.68
QF_BV/sage/app1/bench_745,,24,153.44,,22,140.58,,23,183.89,,21,208.5
QF_BV/sage/app1/bench_753,,29,171.66,,24,144.78,,26,190.18,,26,215.42
QF_BV/sage/app1/bench_761,,28,157.56,,26,157.8,,27,199.71,,24,198.42
QF_BV/sage/app1/bench_836,,17,441.2,,15,427.08,,16,613.87,,14,556.76
QF_BV/sage/app1/bench_847,,17,387.45,,16,508.31,,16,629.49,,15,534.66
QF_BV/sage/app1/bench_858,,17,365.34,,15,430.08,,16,638.56,,14,535.27
QF_BV/sage/app1/bench_869,,17,425.7,,17,458.19,,14,478.61,,15,559.35
QF_BV/sage/app1/bench_880,,17,403.53,,14,415.04,,15,529.44,,16,637.29
QF_BV/sage/app1/bench_914,,17,362.79,,15,356.39,,15,541.89,,15,548.38
QF_BV/sage/app1/bench_926,,27,139.89,,26,128.36,,24,187.51,,24,194.06
QF_BV/sage/app1/bench_947,,17,357.87,,15,419.1,,15,476.96,,15,483.31
QF_BV/sage/app1/bench_983,,29,137.26,,27,155.39,,27,194.26,,26,216.1
QF_BV/sage/app1/bench_985,,24,117.77,,25,135.04,,23,162.72,,23,186.78
QF_BV/sage/app1/bench_987,,25,129.5,,21,123.03,,22,158.43,,20,149.83
QF_BV/sage/app1/bench_989,,21,109.14,,16,86.38,,18,126.68,,17,155.32
QF_BV/sage/app1/bench_99,,20,160.3,,17,148.24,,16,177.15,,18,229.98
QF_BV/sage/app1/bench_992,,20,147.51,,16,86.99,,17,110.06,,17,141.51
QF_BV/sage/app1/bench_994,,16,85.36,,16,85.27,,15,113.97,,16,134.71
QF_BV/sage/app1/bench_996,,15,81.53,,14,75.44,,14,100.42,,12,101.19
