Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,5,10.61,,6,13.3,,5,17.17,,5,35.95
QF_BV/RWS/Example_14.txt,,6,16.85,,6,22.41,,5,27.46,,5,33.92
QF_BV/RWS/Example_2.txt,,5,9.13,,5,11.6,,5,15.64,,5,25.05
QF_BV/RWS/Example_4.txt,,4,7.42,,4,8.39,,4,17.94,,4,22.06
QF_BV/RWS/Example_5.txt,,4,7.97,,4,9.3,,4,16.92,,3,26.97
QF_BV/RWS/Example_6.txt,,3,3.36,,3,3.83,,3,5.33,,3,13.34
QF_BV/bench_ab/a168test0018,,1,0.02,,1,0.05,,1,0.04,,1,0.06
QF_BV/bench_ab/a403test0043,,2,0.03,,2,0.04,,2,0.05,,2,0.19
QF_BV/bench_ab/a423test0008,,1,0.01,,1,0.03,,1,0.02,,1,0.05
QF_BV/bench_ab/a481test0001,,5,0.08,,4,0.13,,3,0.2,,4,0.5
QF_BV/bench_ab/a493test0006,,11,0.14,,3,0.14,,3,0.22,,3,0.47
QF_BV/bench_ab/a503test0089,,1,0.04,,1,0.05,,1,0.06,,1,0.08
QF_BV/bench_ab/a628test0066,,1,0.03,,1,0.06,,1,0.07,,1,0.07
QF_BV/bench_ab/a639test0017,,240,1.54,,186,1.75,,19,0.29,,17,0.93
QF_BV/bench_ab/a651test0090,,1,0.02,,1,0.03,,1,0.07,,1,0.11
QF_BV/bench_ab/a655test0003,,3,0.03,,33,0.28,,4,0.06,,2,0.07
QF_BV/bench_ab/a656test0092,,1,0.02,,1,0.02,,1,0.05,,1,0.02
QF_BV/bench_ab/a659test0071,,1,0.02,,1,0.04,,1,0.05,,1,0.04
QF_BV/bench_ab/a688test0103,,1,0.02,,1,0.05,,1,0.03,,1,0.03
QF_BV/bmc-bv/adpcm,,1,0.01,,1,0.02,,1,0.02,,1,0.02
QF_BV/bmc-bv/ex19,,12,40.81,,6,39.84,,3,46.22,,3,99.01
QF_BV/bmc-bv/fermat,,4,0.46,,4,2.93,,3,6.15,,3,11.08
QF_BV/bmc-bv/graycode,,1,0.46,,1,0.72,,1,1.85,,1,3.85
QF_BV/bmc-bv/inf1,,2,0.05,,2,0.14,,2,0.19,,2,0.36
QF_BV/bmc-bv/magic,,1,2.27,,1,3.26,,1,5.63,,1,11.59
QF_BV/bmc-bv/matrixsqrt,,2,0.61,,3,2.2,,3,6.2,,3,13.7
QF_BV/bmc-bv/queens,,1,1.25,,1,1.89,,1,2.99,,1,6.57
QF_BV/bmc-bv/send-more-money,,1,0.35,,1,1.21,,1,2.04,,1,4.85
QF_BV/bmc-bv/sort,,1,0.27,,1,0.34,,1,0.42,,1,1.16
QF_BV/bmc-bv/sudoku,,1,20.43,,1,23.66,,1,38.66,,1,71.65
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,2,3.06,,2,2.43,,2,2.66,,2,5.21
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,3,3.63,,2,3.02,,2,4.48,,2,4.84
