Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,--,--,,66,98.85,,57,159.46,,--,--
QF_BV/RWS/Example_14.txt,,79,126.63,,76,185.77,,71,284.71,,61,366.31
QF_BV/RWS/Example_2.txt,,--,--,,33,51.02,,26,68.07,,--,--
QF_BV/RWS/Example_4.txt,,14,19.62,,14,24.28,,13,46.81,,13,73.93
QF_BV/RWS/Example_5.txt,,12,16.52,,13,23.63,,13,43.38,,11,67.71
QF_BV/RWS/Example_6.txt,,10,8.23,,10,9.87,,9,13.22,,9,31.74
QF_BV/bench_ab/a168test0018,,11,0.05,,2,0.06,,2,0.05,,2,0.08
QF_BV/bench_ab/a403test0043,,65,0.31,,5,0.06,,3,0.06,,3,0.24
QF_BV/bench_ab/a423test0008,,9,0.03,,217,1.09,,46,0.31,,6,0.15
QF_BV/bench_ab/a481test0001,,--,--,,6,0.18,,6,0.38,,--,--
QF_BV/bench_ab/a493test0006,,--,--,,5,0.2,,6,0.43,,--,--
QF_BV/bench_ab/a503test0089,,12,0.15,,4,0.1,,3,0.11,,3,0.17
QF_BV/bench_ab/a628test0066,,1,0.03,,1,0.06,,1,0.07,,1,0.07
QF_BV/bench_ab/a639test0017,,249,1.61,,254,2.31,,26,0.39,,36,1.8
QF_BV/bench_ab/a651test0090,,334,1.68,,28,0.2,,41,0.52,,14,0.6
QF_BV/bench_ab/a655test0003,,95,0.44,,247,1.69,,22,0.25,,16,0.3
QF_BV/bench_ab/a656test0092,,1,0.02,,1,0.02,,1,0.05,,1,0.02
QF_BV/bench_ab/a659test0071,,334,1.75,,240,1.73,,40,0.43,,25,0.43
QF_BV/bench_ab/a688test0103,,1,0.02,,1,0.05,,1,0.03,,1,0.03
QF_BV/bmc-bv/adpcm,,1,0.01,,1,0.02,,1,0.02,,1,0.02
QF_BV/bmc-bv/ex19,,--,--,,--,--,,--,--,,--,--
QF_BV/bmc-bv/fermat,,--,--,,7,4.83,,6,12.49,,--,--
QF_BV/bmc-bv/graycode,,4,1.34,,4,2.25,,4,5.98,,4,11.46
QF_BV/bmc-bv/inf1,,4,0.09,,2,0.14,,4,0.32,,4,0.72
QF_BV/bmc-bv/magic,,3,4.87,,4,9.27,,3,12.08,,3,24.19
QF_BV/bmc-bv/matrixsqrt,,3,0.7,,4,2.82,,3,6.2,,3,13.7
QF_BV/bmc-bv/queens,,5,2.97,,4,4.63,,4,8.9,,4,19.46
QF_BV/bmc-bv/send-more-money,,1,0.35,,1,1.21,,1,2.04,,1,4.85
QF_BV/bmc-bv/sort,,1,0.27,,1,0.34,,1,0.42,,1,1.16
QF_BV/bmc-bv/sudoku,,2,36.31,,2,42.73,,2,66.3,,2,121.62
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,6,5.72,,5,4.47,,6,5.14,,7,12.16
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,6,6.47,,5,5.26,,6,10.32,,5,8.81
QF_BV/brummayerbiere2/smulov4bw0032,,5,0.37,,5,1.22,,4,3.01,,4,4.63
QF_BV/brummayerbiere2/smulov4bw0064,,6,1.33,,5,4.24,,5,19.29,,4,31.01
QF_BV/brummayerbiere2/smulov4bw0128,,6,29.1,,5,85.86,,5,103.29,,5,180.94
QF_BV/brummayerbiere2/smulov4bw0256,,7,489.66,,5,1106.25,,5,1160.72,,5,1656.9
QF_BV/gulwani-pldi08/fig1d.phx,,22,196.8,,12,132.42,,14,228.41,,14,332.72
QF_BV/gulwani-pldi08/fig5.phx,,--,--,,9,52.01,,10,92.01,,--,--
QF_BV/gulwani-pldi08/fig6.phx,,--,--,,136,133.28,,13,34.44,,--,--
QF_BV/gulwani-pldi08/merge.phx,,2,3.7,,2,8.91,,2,20.54,,2,31.92
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,--,--,,9,39.11,,8,59.73,,--,--
QF_BV/sage/app1/bench_1141,,8,6.55,,6,6.61,,5,7.98,,5,17.79
QF_BV/sage/app1/bench_1288,,6,2.65,,5,3.74,,5,8.62,,5,13.24
QF_BV/sage/app1/bench_1339,,5,1.45,,7,3.65,,5,4.31,,4,7.51
QF_BV/sage/app1/bench_1346,,6,1.87,,5,2.43,,6,6.06,,5,12.53
QF_BV/sage/app1/bench_1710,,159,1.63,,9,0.18,,5,0.17,,6,0.3
QF_BV/sage/app1/bench_1742,,97,1.34,,4,0.14,,3,0.15,,3,0.24
QF_BV/sage/app1/bench_1768,,126,1.64,,4,0.14,,4,0.16,,3,0.19
QF_BV/sage/app12/bench_1183,,23,39.04,,20,41.61,,22,96.84,,19,111.52
QF_BV/sage/app12/bench_1353,,947,506.94,,251,93.05,,49,24.61,,26,20.54
QF_BV/sage/app12/bench_2211,,4,0.27,,4,0.64,,4,1.32,,3,2.06
QF_BV/sage/app12/bench_2353,,596,2781.38,,161,541.99,,91,331.65,,75,591.12
QF_BV/sage/app12/bench_363,,6,0.24,,7,0.43,,3,0.26,,3,0.45
QF_BV/sage/app12/bench_3921,,38,0.99,,--,--,,--,--,,--,--
QF_BV/sage/app12/bench_4066,,1,0.01,,1,0.03,,1,0.03,,1,0.09
QF_BV/sage/app12/bench_4177,,102,0.5,,7,0.1,,2,0.05,,2,0.12
QF_BV/sage/app12/bench_446,,--,--,,3,0.11,,4,0.18,,--,--
QF_BV/sage/app12/bench_5599,,42,0.77,,3,0.18,,3,0.19,,3,0.28
QF_BV/sage/app12/bench_797,,1,0.03,,1,0.06,,1,0.07,,1,0.11
QF_BV/sage/app12/bench_953,,11,0.1,,4,0.12,,4,0.14,,4,0.21
QF_BV/sage/app12/bench_971,,1,0.02,,1,0.04,,1,0.02,,1,0.04
QF_BV/sage/app2/bench_1196,,14,11.21,,8,6.36,,8,13.93,,9,24.87
QF_BV/sage/app2/bench_1387,,325,2723.81,,57,451.96,,43,506.25,,34,635.98
QF_BV/sage/app2/bench_225,,25,14.66,,11,8.24,,9,14.78,,9,19.49
QF_BV/sage/app2/bench_278,,13,3.69,,6,4.67,,5,9.83,,5,25.36
QF_BV/sage/app2/bench_282,,8,2.21,,5,3.83,,5,10.68,,5,22.34
QF_BV/sage/app2/bench_458,,--,--,,274,6.17,,185,6.91,,--,--
QF_BV/sage/app2/bench_48,,--,--,,50,14.69,,42,14.99,,44,20.2
QF_BV/sage/app2/bench_642,,--,--,,26,15.55,,23,31.32,,18,36.25
QF_BV/sage/app2/bench_645,,38,4.39,,11,3.38,,9,4.48,,9,9.38
QF_BV/sage/app2/bench_664,,--,--,,22,14.76,,23,25.98,,21,39.57
QF_BV/sage/app2/bench_719,,--,--,,19,11.12,,24,33.99,,22,37.38
QF_BV/sage/app2/bench_830,,--,--,,34,17.86,,23,26.62,,26,36.31
QF_BV/sage/app2/bench_863,,31,22.69,,7,6.26,,6,9.12,,6,17.14
QF_BV/sage/app5/bench_1163,,--,--,,14,1.33,,26,5.85,,--,--
QF_BV/sage/app5/bench_1169,,1,0.02,,1,0.03,,1,0.04,,1,0.04
QF_BV/sage/app5/bench_1170,,--,--,,15,1.88,,10,2.0,,--,--
QF_BV/sage/app5/bench_1182,,--,--,,6,4.09,,6,13.49,,--,--
QF_BV/sage/app5/bench_1262,,--,--,,5,0.19,,4,0.25,,--,--
QF_BV/sage/app5/bench_1298,,1,0.02,,1,0.03,,1,0.08,,1,0.12
QF_BV/sage/app5/bench_349,,9,7.63,,5,6.59,,5,14.52,,5,25.43
QF_BV/sage/app5/bench_357,,17,10.45,,6,7.27,,6,18.0,,5,25.28
QF_BV/sage/app5/bench_42,,38,7.31,,7,3.5,,7,10.13,,5,10.98
QF_BV/sage/app5/bench_555,,1,0.02,,1,0.03,,1,0.03,,1,0.04
QF_BV/sage/app5/bench_565,,1,0.02,,1,0.03,,1,0.03,,1,0.04
QF_BV/sage/app5/bench_575,,--,--,,6,0.15,,5,0.19,,--,--
QF_BV/sage/app5/bench_597,,1,0.02,,1,0.03,,1,0.05,,1,0.03
QF_BV/sage/app5/bench_742,,103,4.77,,10,0.85,,4,0.48,,4,1.09
QF_BV/sage/app5/bench_794,,--,--,,3,0.06,,3,0.06,,--,--
QF_BV/sage/app5/bench_959,,10,0.6,,6,0.76,,6,1.0,,6,2.26
QF_BV/sage/app5/bench_960,,--,--,,8,0.12,,7,0.16,,--,--
QF_BV/sage/app8/bench_1892,,5,0.41,,6,0.92,,8,2.09,,5,1.92
QF_BV/sage/app8/bench_2006,,9,0.6,,7,0.85,,7,1.72,,6,2.89
QF_BV/sage/app8/bench_23,,7,1.15,,6,2.24,,5,3.91,,4,5.25
QF_BV/sage/app8/bench_2310,,103,2.73,,5,0.39,,5,0.64,,5,1.22
QF_BV/sage/app8/bench_2880,,15,1.06,,67,9.91,,16,5.6,,6,4.23
QF_BV/sage/app8/bench_3177,,18,3.09,,8,2.5,,7,3.62,,14,14.31
QF_BV/sage/app8/bench_3314,,9,0.88,,8,1.47,,7,3.0,,6,4.76
QF_BV/sage/app8/bench_3368,,6,0.83,,5,1.5,,5,2.28,,5,4.5
QF_BV/sage/app8/bench_3424,,7,0.52,,5,0.71,,5,1.38,,5,2.76
QF_BV/sage/app8/bench_3448,,9,0.36,,5,0.4,,4,0.43,,4,0.77
QF_BV/sage/app8/bench_3677,,18,0.32,,52,1.78,,5,0.32,,15,1.97
QF_BV/sage/app8/bench_3814,,7,0.6,,6,1.0,,6,1.74,,5,3.0
QF_BV/sage/app8/bench_3836,,30,0.21,,3,0.08,,3,0.08,,3,0.09
QF_BV/sage/app8/bench_400,,9,18.95,,6,18.43,,7,42.02,,7,54.73
QF_BV/sage/app8/bench_443,,10,27.27,,9,27.74,,8,39.45,,7,71.25
QF_BV/sage/app8/bench_498,,8,19.25,,7,20.96,,7,37.7,,6,69.74
QF_BV/sage/app8/bench_525,,14,0.18,,94,3.62,,108,8.27,,7,0.87
QF_BV/sage/app8/bench_828,,11,22.51,,9,22.53,,9,32.79,,9,55.59
QF_BV/sage/app9/bench_1203,,7,0.63,,5,1.16,,5,1.63,,5,3.25
QF_BV/sage/app9/bench_1269,,9,0.45,,6,0.64,,5,1.05,,5,1.9
QF_BV/sage/app9/bench_1323,,259,9.62,,7,0.57,,5,0.79,,5,1.63
QF_BV/sage/app9/bench_1384,,21,4.29,,10,3.97,,9,9.09,,9,13.3
QF_BV/sage/app9/bench_1400,,16,2.78,,10,3.3,,11,10.62,,9,15.13
QF_BV/sage/app9/bench_1552,,16,1.74,,7,1.47,,7,3.3,,7,6.54
QF_BV/sage/app9/bench_1659,,18,2.23,,12,3.03,,10,5.51,,10,10.82
QF_BV/sage/app9/bench_2061,,--,--,,4,0.13,,5,0.15,,--,--
QF_BV/sage/app9/bench_2127,,1,0.01,,1,0.03,,1,0.03,,1,0.11
QF_BV/sage/app9/bench_2358,,26,0.08,,2,0.03,,2,0.05,,2,0.03
QF_BV/sage/app9/bench_2518,,6,0.26,,6,0.66,,5,0.91,,5,1.88
QF_BV/sage/app9/bench_2940,,15,1.46,,5,0.96,,7,2.41,,6,4.36
QF_BV/sage/app9/bench_3134,,9,24.43,,8,30.32,,7,38.55,,8,87.58
QF_BV/sage/app9/bench_3261,,26,0.2,,2,0.05,,2,0.07,,2,0.2
QF_BV/sage/app9/bench_3270,,1,0.01,,1,0.03,,1,0.03,,1,0.03
QF_BV/sage/app9/bench_3278,,8,20.63,,10,30.85,,7,38.78,,7,70.58
QF_BV/sage/app9/bench_866,,1,0.02,,1,0.04,,1,0.04,,1,0.04
QF_BV/sage/app9/bench_885,,--,--,,7,3.37,,7,7.1,,--,--
QF_BV/sage/app9/bench_919,,469,7.65,,5,0.17,,6,0.3,,40,4.12
QF_BV/sage/app9/bench_979,,11,0.19,,5,0.21,,4,0.19,,4,0.46
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75770,,67,18.54,,5,8.05,,5,21.12,,5,55.12
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75771,,67,15.61,,7,11.06,,6,30.05,,5,45.36
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75772,,67,17.33,,6,8.68,,6,34.24,,5,48.47
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76166,,--,--,,9,90.83,,9,149.09,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76167,,--,--,,9,94.92,,9,181.49,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76168,,--,--,,9,86.13,,8,131.06,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76751,,--,--,,8,84.22,,8,124.2,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76752,,--,--,,9,87.45,,9,132.47,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76753,,--,--,,9,94.02,,8,139.06,,--,--
QF_BV/stp_samples/run_00000.trace.cond_017461_0x95026e6_00,,9,1.47,,9,2.02,,8,3.65,,7,4.24
QF_BV/stp_samples/run_00000.trace.cond_017924_0x950130a_00,,13,2.13,,10,2.82,,9,3.63,,8,4.93
QF_BV/stp_samples/run_00000.trace.cond_019659_0x950130a_00,,17,3.76,,16,4.83,,12,6.28,,12,10.26
QF_BV/stp_samples/run_00000.trace.cond_021021_0x7c80d002_00,,17,5.15,,16,5.42,,13,7.24,,13,15.36
QF_BV/stp_samples/run_00000.trace.cond_285209_0xe7b047_00,,4,8.0,,2,4.58,,3,7.03,,3,13.95
QF_BV/stp_samples/run_00013.trace.cond_285237_0xe752eb_00,,--,--,,--,--,,841,431.22,,17,14.53
QF_BV/stp_samples/run_00013.trace.cond_285420_0xe753c9_00,,--,--,,--,--,,53,25.93,,--,--
QF_BV/stp_samples/run_03230.trace.cond_011983_0x4182de_00,,978,144.67,,--,--,,25,4.9,,--,--
QF_BV/stp_samples/run_03230.trace.cond_012011_0x4182de_00,,--,--,,21,4.24,,9,2.61,,13,8.37
QF_BV/stp_samples/run_03230.trace.cond_012123_0x4182de_00,,--,--,,16,5.24,,11,5.55,,9,6.07
QF_BV/stp_samples/run_03230.trace.cond_012151_0x4182de_00,,--,--,,24,10.26,,12,6.92,,10,6.6
QF_BV/stp_samples/run_03230.trace.cond_012161_0x4182b4_00,,326,112.18,,13,5.03,,12,7.54,,10,11.99
QF_BV/stp_samples/run_03230.trace.cond_012207_0x4182de_00,,--,--,,19,9.93,,12,8.09,,10,11.08
QF_BV/stp_samples/run_03230.trace.cond_025326_0x418209_00,,--,--,,15,9.28,,9,7.57,,9,9.67
QF_BV/stp_samples/run_03230.trace.cond_025503_0x418209_00,,237,138.83,,11,7.77,,8,4.92,,9,15.17
QF_BV/stp_samples/run_03230.trace.cond_025521_0x41821d_00,,882,354.75,,14,7.36,,9,5.4,,10,17.9
QF_BV/stp_samples/run_03230.trace.cond_025533_0x418209_00,,11,6.18,,15,9.59,,6,4.23,,6,11.01
QF_BV/stp_samples/run_03230.trace.cond_025570_0x41821d_00,,31,16.9,,12,6.87,,9,8.71,,7,14.77
QF_BV/tacas07/s-40-50-bv,,--,--,,25,246.22,,25,464.5,,--,--
,,,,,,,,,,,,
QF_ABV/bench_ab/a271test0009,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/a283test0002,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/a288test0004,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/a296test0002,,4,3.51,,3,4.03,,3,6.24,,3,7.84
QF_ABV/bench_ab/a84test0002,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/b264test0001,,3,0.05,,2,0.08,,2,0.12,,3,0.31
QF_ABV/bmc-arrays/ex20,,13,59.86,,7,40.36,,6,95.19,,6,87.71
QF_ABV/bmc-arrays/ex6,,16,1.22,,54,24.36,,12,1.64,,10,3.34
QF_ABV/bmc-arrays/inf4,,4,0.42,,3,0.75,,3,1.51,,3,2.62
QF_ABV/bmc-arrays/simple_control_on_input,,--,--,,8,6.89,,6,12.67,,--,--
QF_ABV/dwp_formulas/try3_noof_functions_dwp_cut.hash_get_entries.il.dwp,,--,--,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_noof_functions_dwp_setuidgid.get_quoting_style.il.dwp,,--,--,,--,--,,--,--,,--,--
